blstroidh;Blasteroids (with heads);Arcade;blstroid;1987;Atari Games;Shooter / Field;;;;;0;;;;;
blstroidh;Blasteroids (with heads);MAME (Advance);blstroid;1987;Atari Games;Shooter / Field;;;;;0;;;;;
blstroidh;Blasteroids (with heads);MAME (Libretro);blstroid;1987;Atari Games;Shooter / Field;;;;;0;;;;;
blstroidh;Blasteroids (with heads);MAME (Mame4all);blstroid;1987;Atari Games;Shooter / Field;;;;;0;;;;;
hyperspc;Hyperspace (bootleg of Asteroids);Arcade;asteroid;1979;bootleg (Rumiano);Shooter / Field;;;;;0;;;;;
hyperspc;Hyperspace (bootleg of Asteroids);MAME (Advance);asteroid;1979;bootleg (Rumiano);Shooter / Field;;;;;0;;;;;
hyperspc;Hyperspace (bootleg of Asteroids);MAME (Libretro);asteroid;1979;bootleg (Rumiano);Shooter / Field;;;;;0;;;;;
hyperspc;Hyperspace (bootleg of Asteroids);MAME (Mame4all);asteroid;1979;bootleg (Rumiano);Shooter / Field;;;;;0;;;;;
meteorho;Meteor (bootleg of Asteroids);Arcade;asteroid;1979;bootleg (Hoei);Shooter / Field;;;;;0;;;;;
meteorho;Meteor (bootleg of Asteroids);MAME (Advance);asteroid;1979;bootleg (Hoei);Shooter / Field;;;;;0;;;;;
meteorho;Meteor (bootleg of Asteroids);MAME (Libretro);asteroid;1979;bootleg (Hoei);Shooter / Field;;;;;0;;;;;
meteorho;Meteor (bootleg of Asteroids);MAME (Mame4all);asteroid;1979;bootleg (Hoei);Shooter / Field;;;;;0;;;;;
meteorts;Meteorites (bootleg of Asteroids);Arcade;asteroid;1979;bootleg (VGG);Shooter / Field;;;;;0;;;;;
meteorts;Meteorites (bootleg of Asteroids);MAME (Advance);asteroid;1979;bootleg (VGG);Shooter / Field;;;;;0;;;;;
meteorts;Meteorites (bootleg of Asteroids);MAME (Libretro);asteroid;1979;bootleg (VGG);Shooter / Field;;;;;0;;;;;
meteorts;Meteorites (bootleg of Asteroids);MAME (Mame4all);asteroid;1979;bootleg (VGG);Shooter / Field;;;;;0;;;;;
