1st Serve Tennis (Europe) (Unl);1st Serve Tennis (Europe) (Unl);Atari ST;;19xx;John Leaver;Sports/Tennis;;;;;0;;;;;
International Tennis Tour (USA);International Tennis Tour (USA);Super Nintendo Entertainment System;;1993;Taito;Sports/Tennis;;;;;0;;;;;
International Tennis (Zeppelin Games) (Europe);International Tennis (Zeppelin Games) (Europe);Commodore 64;;1992;Zeppelin Games;Sports/Tennis;;;;;0;;;;;
I Play - 3D Tennis (Italy);I Play - 3D Tennis (Italy);Commodore 64;;1992;Simulmondo;Sports/Tennis;;;;;0;;;;;
Jahangir Khan's World Championship Squash (Europe);Jahangir Khan's World Championship Squash (Europe);Amstrad CPC;;1991;Krisalis Software;Sports/Tennis;;;;;0;;;;;
Jahangir Khan's World Championship Squash (Europe);Jahangir Khan's World Championship Squash (Europe);Sinclair ZX Spectrum;;1991;Krisalis Software;Sports/Tennis;;;;;0;;;;;
jennifct;Jennifer Capriati Tennis (USA);Final Burn Alpha;grandsl;1992;Renovation;;;;;;0;;;;;
Jennifer Capriati Tennis (USA);Jennifer Capriati Tennis (USA);Sega Genesis;;1992;System Sacom;Sports/Tennis;;;;;0;;;;;
Jimmy Connors Pro Tennis Tour (USA);Jimmy Connors Pro Tennis Tour (USA);Super Nintendo Entertainment System;;1994;Ubisoft;Sports/Tennis;;;;;0;;;;;
Jimmy Connors' Tennis (USA, Europe);Jimmy Connors' Tennis (USA, Europe);Atari Lynx;;1993;HandMade Software;Sports/Tennis;;;;;0;;;;;
Jimmy Connors Tennis (USA, Europe);Jimmy Connors Tennis (USA, Europe);Nintendo Game Boy;;1998;Ubisoft;Sports/Tennis;;;;;0;;;;;
Jimmy Connors Tennis (USA);Jimmy Connors Tennis (USA);Nintendo Entertainment System;;1993;Ubisoft;Sports/Tennis;;;;;0;;;;;
Jonah Barrington's Squash (Europe);Jonah Barrington's Squash (Europe);Amstrad CPC;;1985;Mastertronic;Sports/Tennis;;;;;0;;;;;
Jonah Barrington's Squash (Europe);Jonah Barrington's Squash (Europe);Sinclair ZX Spectrum;;1985;New Generation Software;Sports/Tennis;;;;;0;;;;;
