#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Mr. Do! (USA, Europe);Mr. Do! (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Nova Blast (USA);Nova Blast (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Oil's Well (USA);Oil's Well (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Omega Race (USA, Europe);Omega Race (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
One on One (USA);One on One (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Pepper II (USA, Europe);Pepper II (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Pitfall II - Lost Caverns (USA);Pitfall II - Lost Caverns (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Pitfall! (USA);Pitfall! (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Pitstop (USA);Pitstop (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Popeye (USA);Popeye (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Q-bert (USA);Q-bert (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Q-bert II (USA);Q-bert II (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Quest for Quintana Roo (USA);Quest for Quintana Roo (USA);ColecoVision;;;;;;;;;;;;;;;;;;
River Raid (USA);River Raid (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Robin Hood (USA);Robin Hood (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Roc 'N Rope (USA, Europe);Roc 'N Rope (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Rock 'N' Bolt (USA);Rock 'N' Bolt (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Rocky Super-Action Boxing (USA, Europe);Rocky Super-Action Boxing (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Rolloverture (USA);Rolloverture (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Sammy Lightfoot (USA);Sammy Lightfoot (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Sector Alpha (USA);Sector Alpha (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Sewer Sam (USA);Sewer Sam (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Sir Lancelot (USA);Sir Lancelot (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Skiing (USA);Skiing (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Slither (USA);Slither (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Slurpy (USA);Slurpy (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Smurf Paint 'n Play Workshop (USA, Europe);Smurf Paint 'n Play Workshop (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Smurf Rescue (USA, Europe);Smurf Rescue (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Space Fury (USA, Europe);Space Fury (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Space Panic (USA, Europe);Space Panic (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Spectron (USA);Spectron (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Spy Hunter (USA, Europe);Spy Hunter (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Squish 'Em Sam! (USA);Squish 'Em Sam! (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Star Trek (USA, Europe);Star Trek (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Star Wars (USA);Star Wars (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Strike It! (USA);Strike It! (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Subroc (USA, Europe);Subroc (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Super Action Baseball (USA, Europe);Super Action Baseball (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Super Action Football (USA, Europe);Super Action Football (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Super Action Soccer (USA, Europe);Super Action Soccer (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Super Cobra (USA);Super Cobra (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Super Cross Force (USA);Super Cross Force (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Tank Wars (USA);Tank Wars (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Tapper (USA, Europe);Tapper (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Telly Turtle (USA, Europe);Telly Turtle (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Threshold (USA);Threshold (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Time Pilot (USA, Europe);Time Pilot (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Tomarc the Barbarian (USA);Tomarc the Barbarian (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Tournament Tennis (USA);Tournament Tennis (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Turbo (USA, Europe);Turbo (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Tutankham (USA);Tutankham (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Up 'N Down (USA);Up 'N Down (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Venture (USA, Europe);Venture (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Victory (USA, Europe);Victory (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
War Games (USA, Europe);War Games (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
War Room (USA);War Room (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Wing War (USA);Wing War (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Wizard of Id's Wizmath (USA);Wizard of Id's Wizmath (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Word Feud (USA);Word Feud (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Zaxxon (USA, Europe);Zaxxon (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Zenji (USA);Zenji (USA);ColecoVision;;;;;;;;;;;;;;;;;;
