Game Boy Advance Video - Teenage Mutant Ninja Turtles - Things Change (USA, Europe);Game Boy Advance Video - Teenage Mutant Ninja Turtles - Things Change (USA, Europe);Nintendo Game Boy Advance;;2004;Majesco Games;Miscellaneous;;;;;0;;;;;
tmhta;Teenage Mutant Hero Turtles (UK 4 Players, set 2);Mame;tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmhtb;Teenage Mutant Hero Turtles (UK 4 Players, set 3);Arcade;tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmhtb;Teenage Mutant Hero Turtles (UK 4 Players, set 3);MAME (Advance);tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmhtb;Teenage Mutant Hero Turtles (UK 4 Players, set 3);MAME (Libretro);tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmhtb;Teenage Mutant Hero Turtles (UK 4 Players, set 3);MAME (Mame4all);tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmhtb;Teenage Mutant Hero Turtles (UK 4 Players, set 3);Mame;tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt22pu;Teenage Mutant Ninja Turtles - Turtles in Time (2 Players ver UDA);Arcade;tmnt2;1991;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt22pu;Teenage Mutant Ninja Turtles - Turtles in Time (2 Players ver UDA);MAME (Advance);tmnt2;1991;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt22pu;Teenage Mutant Ninja Turtles - Turtles in Time (2 Players ver UDA);MAME (Libretro);tmnt2;1991;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt22pu;Teenage Mutant Ninja Turtles - Turtles in Time (2 Players ver UDA);MAME (Mame4all);tmnt2;1991;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt22pu;Teenage Mutant Ninja Turtles - Turtles in Time (2 Players ver UDA);Mame;tmnt2;1991;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt22pu;Teenage Mutant Ninja Turtles - Turtles in Time (2 Players ver. UDA);Final Burn Alpha;tmnt2;1991;Konami;;;;;;0;;;;;
tmnt2;Teenage Mutant Ninja Turtles - Turtles in Time (4 Players ver UAA);Arcade;;1991;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt2;Teenage Mutant Ninja Turtles - Turtles in Time (4 Players ver UAA);MAME (Advance);;1991;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt2;Teenage Mutant Ninja Turtles - Turtles in Time (4 Players ver UAA);MAME (Libretro);;1991;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt2;Teenage Mutant Ninja Turtles - Turtles in Time (4 Players ver UAA);MAME (Mame4all);;1991;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt2;Teenage Mutant Ninja Turtles - Turtles in Time (4 Players ver UAA);Mame;;1991;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt2;Teenage Mutant Ninja Turtles - Turtles in Time (4 Players ver. UAA);Final Burn Alpha;;1991;Konami;;;;;;0;;;;;
tmnt2a;Teenage Mutant Ninja Turtles - Turtles in Time (4 Players ver ADA);Arcade;tmnt2;1991;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt2a;Teenage Mutant Ninja Turtles - Turtles in Time (4 Players ver ADA);MAME (Advance);tmnt2;1991;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt2a;Teenage Mutant Ninja Turtles - Turtles in Time (4 Players ver ADA);MAME (Libretro);tmnt2;1991;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt2a;Teenage Mutant Ninja Turtles - Turtles in Time (4 Players ver ADA);MAME (Mame4all);tmnt2;1991;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt2a;Teenage Mutant Ninja Turtles - Turtles in Time (4 Players ver ADA);Mame;tmnt2;1991;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt2a;Teenage Mutant Ninja Turtles - Turtles in Time (4 Players ver. ADA);Final Burn Alpha;tmnt2;1991;Konami;;;;;;0;;;;;
tmnt2pj;Teenage Mutant Ninja Turtles (Japan 2 Players);Arcade;tmnt;1990;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt2pj;Teenage Mutant Ninja Turtles (Japan 2 Players);Final Burn Alpha;tmnt;1990;Konami;;;;;;0;;;;;
tmnt2pj;Teenage Mutant Ninja Turtles (Japan 2 Players);MAME (Advance);tmnt;1990;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt2pj;Teenage Mutant Ninja Turtles (Japan 2 Players);MAME (Libretro);tmnt;1990;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt2pj;Teenage Mutant Ninja Turtles (Japan 2 Players);MAME (Mame4all);tmnt;1990;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt2pj;Teenage Mutant Ninja Turtles (Japan 2 Players);Mame;tmnt;1990;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt2po;Teenage Mutant Ninja Turtles (Oceania 2 Players);Arcade;tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt2po;Teenage Mutant Ninja Turtles (Oceania 2 Players);Final Burn Alpha;tmnt;1989;Konami;;;;;;0;;;;;
tmnt2po;Teenage Mutant Ninja Turtles (Oceania 2 Players);MAME (Advance);tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt2po;Teenage Mutant Ninja Turtles (Oceania 2 Players);MAME (Libretro);tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt2po;Teenage Mutant Ninja Turtles (Oceania 2 Players);MAME (Mame4all);tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt2po;Teenage Mutant Ninja Turtles (Oceania 2 Players);Mame;tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt;Teenage Mutant Ninja Turtles (World 4 Players);Arcade;;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt;Teenage Mutant Ninja Turtles (World 4 Players);Final Burn Alpha;;1989;Konami;;;;;;0;;;;;
tmnt;Teenage Mutant Ninja Turtles (World 4 Players);MAME (Advance);;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt;Teenage Mutant Ninja Turtles (World 4 Players);MAME (Libretro);;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnt;Teenage Mutant Ninja Turtles (World 4 Players);MAME (Mame4all);;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
