galaxrfgg;Galaxian Growing Galaxip / Galaxian Nave Creciente (Recreativos Franco S.A. Spanish bootleg);MAME (Advance);galaxian;1980;bootleg (Recreativos Franco S.A.);Shooter / Gallery;;;;;0;;;;;
galaxrfgg;Galaxian Growing Galaxip / Galaxian Nave Creciente (Recreativos Franco S.A. Spanish bootleg);MAME (Libretro);galaxian;1980;bootleg (Recreativos Franco S.A.);Shooter / Gallery;;;;;0;;;;;
galaxrfgg;Galaxian Growing Galaxip / Galaxian Nave Creciente (Recreativos Franco S.A. Spanish bootleg);MAME (Mame4all);galaxian;1980;bootleg (Recreativos Franco S.A.);Shooter / Gallery;;;;;0;;;;;
galturbo;Galaxian Turbo (superg hack);Arcade;galaxian;1979;hack;Shooter / Gallery;;;;;0;;;;;
galturbo;Galaxian Turbo (superg hack) [Hack];Final Burn Alpha;galaxian;1979;hack;;;;;;0;;;;;
galturbo;Galaxian Turbo (superg hack);MAME (Advance);galaxian;1979;hack;Shooter / Gallery;;;;;0;;;;;
galturbo;Galaxian Turbo (superg hack);MAME (Libretro);galaxian;1979;hack;Shooter / Gallery;;;;;0;;;;;
galturbo;Galaxian Turbo (superg hack);MAME (Mame4all);galaxian;1979;hack;Shooter / Gallery;;;;;0;;;;;
starfght;Star Fighter;Arcade;galaxian;1979;bootleg (Jeutel);Shooter / Gallery;;;;;0;;;;;
starfght;Star Fighter;Final Burn Alpha;galaxian;1979;Juetel;;;;;;0;;;;;
starfght;Star Fighter;MAME (Advance);galaxian;1979;bootleg (Jeutel);Shooter / Gallery;;;;;0;;;;;
starfght;Star Fighter;MAME (Libretro);galaxian;1979;bootleg (Jeutel);Shooter / Gallery;;;;;0;;;;;
starfght;Star Fighter;MAME (Mame4all);galaxian;1979;bootleg (Jeutel);Shooter / Gallery;;;;;0;;;;;
superg;Super Galaxians (galaxiaj hack) [Hack];Final Burn Alpha;galaxian;1979;hack;;;;;;0;;;;;
superg;Super Galaxians (galaxiana hack);Arcade;galaxian;1979;hack;Shooter / Gallery;;;;;0;;;;;
superg;Super Galaxians (galaxiana hack);MAME (Advance);galaxian;1979;hack;Shooter / Gallery;;;;;0;;;;;
superg;Super Galaxians (galaxiana hack);MAME (Libretro);galaxian;1979;hack;Shooter / Gallery;;;;;0;;;;;
superg;Super Galaxians (galaxiana hack);MAME (Mame4all);galaxian;1979;hack;Shooter / Gallery;;;;;0;;;;;
swarm;Swarm (bootleg?);Arcade;galaxian;1979;bootleg? (Subelectro);Shooter / Gallery;;;;;0;;;;;
swarm;Swarm (bootleg?) [Bootleg];Final Burn Alpha;galaxian;1979;Sebelectro;;;;;;0;;;;;
swarm;Swarm (bootleg?);MAME (Advance);galaxian;1979;bootleg? (Subelectro);Shooter / Gallery;;;;;0;;;;;
swarm;Swarm (bootleg?);MAME (Libretro);galaxian;1979;bootleg? (Subelectro);Shooter / Gallery;;;;;0;;;;;
swarm;Swarm (bootleg?);MAME (Mame4all);galaxian;1979;bootleg? (Subelectro);Shooter / Gallery;;;;;0;;;;;
