#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
bowlrama;bowlrama;FBA;;;;;;;;;;;;;
brain;brain;FBA;;;;;;;;;;;;;
brapboys;brapboys;FBA;;;;;;;;;;;;;
breakers;breakers;FBA;;;;;;;;;;;;;
breakrev;breakrev;FBA;;;;;;;;;;;;;
breywood;breywood;FBA;;;;;;;;;;;;;
brix;brix;FBA;;;;;;;;;;;;;
bshark;bshark;FBA;;;;;;;;;;;;;
bssoccer;bssoccer;FBA;;;;;;;;;;;;;
bstars;bstars;FBA;;;;;;;;;;;;;
bstars2;bstars2;FBA;;;;;;;;;;;;;
btlkroad;btlkroad;FBA;;;;;;;;;;;;;
bubl2000;bubl2000;FBA;;;;;;;;;;;;;
bublbobl;bublbobl;FBA;;;;;;;;;;;;;
bucky;bucky;FBA;;;;;;;;;;;;;
bullet;bullet;FBA;;;;;;;;;;;;;
bullfgt;bullfgt;FBA;;;;;;;;;;;;;
buraiken;buraiken;FBA;;;;;;;;;;;;;
burglarx;burglarx;FBA;;;;;;;;;;;;;
burningf;burningf;FBA;;;;;;;;;;;;;
bwcasino;bwcasino;FBA;;;;;;;;;;;;;
bygone;bygone;FBA;;;;;;;;;;;;;
cabal;cabal;FBA;;;;;;;;;;;;;
cadash;cadash;FBA;;;;;;;;;;;;;
calibr50;calibr50;FBA;;;;;;;;;;;;;
calipso;calipso;FBA;;;;;;;;;;;;;
cameltry;cameltry;FBA;;;;;;;;;;;;;
cannonbp;cannonbp;FBA;;;;;;;;;;;;;
canvas;canvas;FBA;;;;;;;;;;;;;
capbowl;capbowl;FBA;;;;;;;;;;;;;
captcomm;captcomm;FBA;;;;;;;;;;;;;
catacomb;catacomb;FBA;;;;;;;;;;;;;
cavelon;cavelon;FBA;;;;;;;;;;;;;
cavenger;cavenger;FBA;;;;;;;;;;;;;
cawing;cawing;FBA;;;;;;;;;;;;;
cbuster;cbuster;FBA;;;;;;;;;;;;;
cclimbr2;cclimbr2;FBA;;;;;;;;;;;;;
centiped3;centiped3;FBA;;;;;;;;;;;;;
chainrec;chainrec;FBA;;;;;;;;;;;;;
chaknpop;chaknpop;FBA;;;;;;;;;;;;;
chameleo;chameleo;FBA;;;;;;;;;;;;;
chanbara;chanbara;FBA;;;;;;;;;;;;;
changes;changes;FBA;;;;;;;;;;;;;
charlien;charlien;FBA;;;;;;;;;;;;;
chasehq;chasehq;FBA;;;;;;;;;;;;;
checkman;checkman;FBA;;;;;;;;;;;;;
chelnov;chelnov;FBA;;;;;;;;;;;;;
chimerab;chimerab;FBA;;;;;;;;;;;;;
chinagat;chinagat;FBA;;;;;;;;;;;;;
chinatwn;chinatwn;FBA;;;;;;;;;;;;;
chkun;chkun;FBA;;;;;;;;;;;;;
chokchok;chokchok;FBA;;;;;;;;;;;;;
choko;choko;FBA;;;;;;;;;;;;;
choplift;choplift;FBA;;;;;;;;;;;;;
chopliftbl;chopliftbl;FBA;;;;;;;;;;;;;
choppera;choppera;FBA;;;;;;;;;;;;;
chukataij;chukataij;FBA;;;;;;;;;;;;;
circusc;circusc;FBA;;;;;;;;;;;;;
citybomb;citybomb;FBA;;;;;;;;;;;;;
ckong;ckong;FBA;;;;;;;;;;;;;
ckongg;ckongg;FBA;;;;;;;;;;;;;
clbowl;clbowl;FBA;;;;;;;;;;;;;
cltchitr;cltchitr;FBA;;;;;;;;;;;;;
cninja;cninja;FBA;;;;;;;;;;;;;
cobracom;cobracom;FBA;;;;;;;;;;;;;
combh;combh;FBA;;;;;;;;;;;;;
commando;commando;FBA;;;;;;;;;;;;;
commsega;commsega;FBA;;;;;;;;;;;;;
congo;congo;FBA;;;;;;;;;;;;;
contcirc;contcirc;FBA;;;;;;;;;;;;;
contra;contra;FBA;;;;;;;;;;;;;
cookbib;cookbib;FBA;;;;;;;;;;;;;
cookbib2;cookbib2;FBA;;;;;;;;;;;;;
cookbib3;cookbib3;FBA;;;;;;;;;;;;;
cosmccop;cosmccop;FBA;;;;;;;;;;;;;
cotton;cotton;FBA;;;;;;;;;;;;;
countryc;countryc;FBA;;;;;;;;;;;;;
crazyfgt;crazyfgt;FBA;;;;;;;;;;;;;
crimec;crimec;FBA;;;;;;;;;;;;;
crimfght;crimfght;FBA;;;;;;;;;;;;;
crospang;crospang;FBA;;;;;;;;;;;;;
crshrace;crshrace;FBA;;;;;;;;;;;;;
crsword;crsword;FBA;;;;;;;;;;;;;
crush;crush;FBA;;;;;;;;;;;;;
csclub;csclub;FBA;;;;;;;;;;;;;
csilver;csilver;FBA;;;;;;;;;;;;;
ctomaday;ctomaday;FBA;;;;;;;;;;;;;
ctribe;ctribe;FBA;;;;;;;;;;;;;
ctrpllrp;ctrpllrp;FBA;;;;;;;;;;;;;
cuebrick;cuebrick;FBA;;;;;;;;;;;;;
cutieq;cutieq;FBA;;;;;;;;;;;;;
cworld;cworld;FBA;;;;;;;;;;;;;
cworld2j;cworld2j;FBA;;;;;;;;;;;;;
cybattlr;cybattlr;FBA;;;;;;;;;;;;;
cyberlip;cyberlip;FBA;;;;;;;;;;;;;
cybertnk;cybertnk;FBA;;;;;;;;;;;;;
cybots;cybots;FBA;;;;;;;;;;;;;
cyvern;cyvern;FBA;;;;;;;;;;;;;
daioh;daioh;FBA;;;;;;;;;;;;;
dambustr;dambustr;FBA;;;;;;;;;;;;;
daraku;daraku;FBA;;;;;;;;;;;;;
darius;darius;FBA;;;;;;;;;;;;;
darius2;darius2;FBA;;;;;;;;;;;;;
darkmist;darkmist;FBA;;;;;;;;;;;;;
darkplnt;darkplnt;FBA;;;;;;;;;;;;;
darkseal;darkseal;FBA;;;;;;;;;;;;;
darktowr;darktowr;FBA;;;;;;;;;;;;;
dassault;dassault;FBA;;;;;;;;;;;;;
dblaxle;dblaxle;FBA;;;;;;;;;;;;;
dbreed;dbreed;FBA;;;;;;;;;;;;;
dbz;dbz;FBA;;;;;;;;;;;;;
dbz2;dbz2;FBA;;;;;;;;;;;;;
dcon;dcon;FBA;;;;;;;;;;;;;
ddcrew;ddcrew;FBA;;;;;;;;;;;;;
ddonpach;ddonpach;FBA;;;;;;;;;;;;;
ddp2;ddp2;FBA;;;;;;;;;;;;;
ddp2j;ddp2j;FBA;;;;;;;;;;;;;
ddpdoj;ddpdoj;FBA;;;;;;;;;;;;;
ddragon;ddragon;FBA;;;;;;;;;;;;;
ddragon2;ddragon2;FBA;;;;;;;;;;;;;
ddragon3;ddragon3;FBA;;;;;;;;;;;;;
ddsom;ddsom;FBA;;;;;;;;;;;;;
ddtod;ddtod;FBA;;;;;;;;;;;;;
ddux;ddux;FBA;;;;;;;;;;;;;
deadconx;deadconx;FBA;;;;;;;;;;;;;
dealer;dealer;FBA;;;;;;;;;;;;;
deerhunt;deerhunt;FBA;;;;;;;;;;;;;
demonwld;demonwld;FBA;;;;;;;;;;;;;
deroon;deroon;FBA;;;;;;;;;;;;;
desertbr;desertbr;FBA;;;;;;;;;;;;;
devilfsh;devilfsh;FBA;;;;;;;;;;;;;
devilw;devilw;FBA;;;;;;;;;;;;;
devstors;devstors;FBA;;;;;;;;;;;;;
dfeveron;dfeveron;FBA;;;;;;;;;;;;;
diamond;diamond;FBA;;;;;;;;;;;;;
dietgo;dietgo;FBA;;;;;;;;;;;;;
digdug;digdug;FBA;;;;;;;;;;;;;
diggerma;diggerma;FBA;;;;;;;;;;;;;
dimahoo;dimahoo;FBA;;;;;;;;;;;;;
dingo;dingo;FBA;;;;;;;;;;;;;
dino;dino;FBA;;;;;;;;;;;;;
dinorex;dinorex;FBA;;;;;;;;;;;;;
diverboy;diverboy;FBA;;;;;;;;;;;;;
djboy;djboy;FBA;;;;;;;;;;;;;
dkgensanm72;dkgensanm72;FBA;;;;;;;;;;;;;
dkong;dkong;FBA;;;;;;;;;;;;;
dkong3;dkong3;FBA;;;;;;;;;;;;;
dkongjr;dkongjr;FBA;;;;;;;;;;;;;
dkongx11;dkongx11;FBA;;;;;;;;;;;;;
dland;dland;FBA;;;;;;;;;;;;;
dmnfrnt;dmnfrnt;FBA;;;;;;;;;;;;;
docastle;docastle;FBA;;;;;;;;;;;;;
dockman;dockman;FBA;;;;;;;;;;;;;
dogyuun;dogyuun;FBA;;;;;;;;;;;;;
dokaben;dokaben;FBA;;;;;;;;;;;;;
dolmen;dolmen;FBA;;;;;;;;;;;;;
dommy;dommy;FBA;;;;;;;;;;;;;
dondokod;dondokod;FBA;;;;;;;;;;;;;
donpachi;donpachi;FBA;;;;;;;;;;;;;
dorunrun;dorunrun;FBA;;;;;;;;;;;;;
dotrikun;dotrikun;FBA;;;;;;;;;;;;;
doubledr;doubledr;FBA;;;;;;;;;;;;;
dowild;dowild;FBA;;;;;;;;;;;;;
downtown;downtown;FBA;;;;;;;;;;;;;
dragnblz;dragnblz;FBA;;;;;;;;;;;;;
drakton;drakton;FBA;;;;;;;;;;;;;
dremshpr;dremshpr;FBA;;;;;;;;;;;;;
drgnbowl;drgnbowl;FBA;;;;;;;;;;;;;
drgnbstr;drgnbstr;FBA;;;;;;;;;;;;;
drgninja;drgninja;FBA;;;;;;;;;;;;;
drgnmst;drgnmst;FBA;;;;;;;;;;;;;
drgnunit;drgnunit;FBA;;;;;;;;;;;;;
drgw2;drgw2;FBA;;;;;;;;;;;;;
driftout;driftout;FBA;;;;;;;;;;;;;
drktnjr;drktnjr;FBA;;;;;;;;;;;;;
drtoppel;drtoppel;FBA;;;;;;;;;;;;;
dsoccr94;dsoccr94;FBA;;;;;;;;;;;;;
dstlk;dstlk;FBA;;;;;;;;;;;;;
dunkshoto;dunkshoto;FBA;;;;;;;;;;;;;
dw2001;dw2001;FBA;;;;;;;;;;;;;
dyger;dyger;FBA;;;;;;;;;;;;;
dynablst;dynablst;FBA;;;;;;;;;;;;;
dynduke;dynduke;FBA;;;;;;;;;;;;;
dynwar;dynwar;FBA;;;;;;;;;;;;;
eagle;eagle;FBA;;;;;;;;;;;;;
earthjkr;earthjkr;FBA;;;;;;;;;;;;;
ecofghtr;ecofghtr;FBA;;;;;;;;;;;;;
edf;edf;FBA;;;;;;;;;;;;;
edrandy;edrandy;FBA;;;;;;;;;;;;;
egghunt;egghunt;FBA;;;;;;;;;;;;;
eggor;eggor;FBA;;;;;;;;;;;;;
eggs;eggs;FBA;;;;;;;;;;;;;
eightfrc;eightfrc;FBA;;;;;;;;;;;;;
eightman;eightman;FBA;;;;;;;;;;;;;
enduror;enduror;FBA;;;;;;;;;;;;;
enforce;enforce;FBA;;;;;;;;;;;;;
esckids;esckids;FBA;;;;;;;;;;;;;
esckidsj;esckidsj;FBA;;;;;;;;;;;;;
espgal;espgal;FBA;;;;;;;;;;;;;
esprade;esprade;FBA;;;;;;;;;;;;;
eswat;eswat;FBA;;;;;;;;;;;;;
eto;eto;FBA;;;;;;;;;;;;;
euroch92;euroch92;FBA;;;;;;;;;;;;;
excelsr;excelsr;FBA;;;;;;;;;;;;;
exctleag;exctleag;FBA;;;;;;;;;;;;;
exedexes;exedexes;FBA;;;;;;;;;;;;;
explbrkr;explbrkr;FBA;;;;;;;;;;;;;
extdwnhl;extdwnhl;FBA;;;;;;;;;;;;;
extrmatn;extrmatn;FBA;;;;;;;;;;;;;
exzisus;exzisus;FBA;;;;;;;;;;;;;
eyes;eyes;FBA;;;;;;;;;;;;;
f1dream;f1dream;FBA;;;;;;;;;;;;;
f1gp;f1gp;FBA;;;;;;;;;;;;;
f1gp2;f1gp2;FBA;;;;;;;;;;;;;
fantasia;fantasia;FBA;;;;;;;;;;;;;
fantastc;fantastc;FBA;;;;;;;;;;;;;
fantsia2;fantsia2;FBA;;;;;;;;;;;;;
fantsy95;fantsy95;FBA;;;;;;;;;;;;;
fantzn2x;fantzn2x;FBA;;;;;;;;;;;;;
fantzone;fantzone;FBA;;;;;;;;;;;;;
fatfursp;fatfursp;FBA;;;;;;;;;;;;;
fatfury1;fatfury1;FBA;;;;;;;;;;;;;
fatfury2;fatfury2;FBA;;;;;;;;;;;;;
fatfury3;fatfury3;FBA;;;;;;;;;;;;;
fbfrenzy;fbfrenzy;FBA;;;;;;;;;;;;;
feversos;feversos;FBA;;;;;;;;;;;;;
ffight;ffight;FBA;;;;;;;;;;;;;
fghtbskt;fghtbskt;FBA;;;;;;;;;;;;;
fightfev;fightfev;FBA;;;;;;;;;;;;;
fightrol;fightrol;FBA;;;;;;;;;;;;;
finalb;finalb;FBA;;;;;;;;;;;;;
finalizr;finalizr;FBA;;;;;;;;;;;;;
finalttr;finalttr;FBA;;;;;;;;;;;;;
firebarr;firebarr;FBA;;;;;;;;;;;;;
firehawk;firehawk;FBA;;;;;;;;;;;;;
fireshrk;fireshrk;FBA;;;;;;;;;;;;;
fitegolf;fitegolf;FBA;;;;;;;;;;;;;
fixeight;fixeight;FBA;;;;;;;;;;;;;
flashgal;flashgal;FBA;;;;;;;;;;;;;
flicky;flicky;FBA;;;;;;;;;;;;;
flipshot;flipshot;FBA;;;;;;;;;;;;;
flstory;flstory;FBA;;;;;;;;;;;;;
flytiger;flytiger;FBA;;;;;;;;;;;;;
fncywld;fncywld;FBA;;;;;;;;;;;;;
fnkyfish;fnkyfish;FBA;;;;;;;;;;;;;
footchmp;footchmp;FBA;;;;;;;;;;;;;
forgottn;forgottn;FBA;;;;;;;;;;;;;
fpoint;fpoint;FBA;;;;;;;;;;;;;
freeze;freeze;FBA;;;;;;;;;;;;;
frogger;frogger;FBA;;;;;;;;;;;;;
fround;fround;FBA;;;;;;;;;;;;;
fsoccer;fsoccer;FBA;;;;;;;;;;;;;
fstarfrc;fstarfrc;FBA;;;;;;;;;;;;;
funkybee;funkybee;FBA;;;;;;;;;;;;;
funkyjeta;funkyjeta;FBA;;;;;;;;;;;;;
funybubl;funybubl;FBA;;;;;;;;;;;;;
futspy;futspy;FBA;;;;;;;;;;;;;
gaia;gaia;FBA;;;;;;;;;;;;;
gaiapols;gaiapols;FBA;;;;;;;;;;;;;
gaiden;gaiden;FBA;;;;;;;;;;;;;
galaga;galaga;FBA;;;;;;;;;;;;;
galaxyfg;galaxyfg;FBA;;;;;;;;;;;;;
galhustl;galhustl;FBA;;;;;;;;;;;;;
galmedes;galmedes;FBA;;;;;;;;;;;;;
galpani4;galpani4;FBA;;;;;;;;;;;;;
galpanic;galpanic;FBA;;;;;;;;;;;;;
galpanis;galpanis;FBA;;;;;;;;;;;;;
galpans2;galpans2;FBA;;;;;;;;;;;;;
galpans3;galpans3;FBA;;;;;;;;;;;;;
galspnbl;galspnbl;FBA;;;;;;;;;;;;;
ganbare;ganbare;FBA;;;;;;;;;;;;;
ganryu;ganryu;FBA;;;;;;;;;;;;;
gardia;gardia;FBA;;;;;;;;;;;;;
garou;garou;FBA;;;;;;;;;;;;;
garyoret;garyoret;FBA;;;;;;;;;;;;;
gaunt2;gaunt2;FBA;;;;;;;;;;;;;
gauntlet;gauntlet;FBA;;;;;;;;;;;;;
gberet;gberet;FBA;;;;;;;;;;;;;
gbusters;gbusters;FBA;;;;;;;;;;;;;
geebee;geebee;FBA;;;;;;;;;;;;;
gemini;gemini;FBA;;;;;;;;;;;;;
genix;genix;FBA;;;;;;;;;;;;;
genpeitd;genpeitd;FBA;;;;;;;;;;;;;
gforce2;gforce2;FBA;;;;;;;;;;;;;
ghostb;ghostb;FBA;;;;;;;;;;;;;
ghostlop;ghostlop;FBA;;;;;;;;;;;;;
ghouls;ghouls;FBA;;;;;;;;;;;;;
ghox;ghox;FBA;;;;;;;;;;;;;
gigandes;gigandes;FBA;;;;;;;;;;;;;
gigawing;gigawing;FBA;;;;;;;;;;;;;
gijoe;gijoe;FBA;;;;;;;;;;;;;
ginganin;ginganin;FBA;;;;;;;;;;;;;
ginkun;ginkun;FBA;;;;;;;;;;;;;
glocu;glocu;FBA;;;;;;;;;;;;;
gmgalax;gmgalax;FBA;;;;;;;;;;;;;
gnbarich;gnbarich;FBA;;;;;;;;;;;;;
gng;gng;FBA;;;;;;;;;;;;;
goalx3;goalx3;FBA;;;;;;;;;;;;;
goldnaxe;goldnaxe;FBA;;;;;;;;;;;;;
