Gauntlet III - The Final Fight (Europe) (Side A);Gauntlet III - The Final Fight (Europe) (Side A);Commodore 64;;1991;US Gold;Action;;;;;0;;;;;
Gauntlet III - The Final Fight (Europe) (Side B);Gauntlet III - The Final Fight (Europe) (Side B);Commodore 64;;1991;US Gold;Action;;;;;0;;;;;
Gauntlet III - The Final Quest (Europe) (Disk 1);Gauntlet III - The Final Quest (Europe) (Disk 1);Amstrad CPC;;1991;U.S. Gold;Shoot-'Em-Up;;;;;0;;;;;
Gauntlet III - The Final Quest (Europe) (Disk 1);Gauntlet III - The Final Quest (Europe) (Disk 1);Atari ST;;1990;US Gold;Shooter;;;;;0;;;;;
Gauntlet III - The Final Quest (Europe) (Disk 2);Gauntlet III - The Final Quest (Europe) (Disk 2);Amstrad CPC;;1991;U.S. Gold;Shoot-'Em-Up;;;;;0;;;;;
Gauntlet III - The Final Quest (Europe) (Disk 2);Gauntlet III - The Final Quest (Europe) (Disk 2);Atari ST;;1990;US Gold;Shooter;;;;;0;;;;;
Gauntlet III - The Final Quest (Europe) (Disk 3);Gauntlet III - The Final Quest (Europe) (Disk 3);Atari ST;;1990;US Gold;Shooter;;;;;0;;;;;
Gauntlet III - The Final Quest (Europe);Gauntlet III - The Final Quest (Europe);Sinclair ZX Spectrum;;1991;US Gold;Maze;;;;;0;;;;;
Gauntlet II (USA, Europe);Gauntlet II (USA, Europe);Nintendo Game Boy;;1990;Tengen;Action;;;;;0;;;;;
Gauntlet II (USA);Gauntlet II (USA);Commodore 64;;1989;Mindscape, Inc.;Action;;;;;0;;;;;
Gauntlet II (USA);Gauntlet II (USA);Nintendo Entertainment System;;1990;Mindscape Inc.;Action;;;;;0;;;;;
Gauntlet IV (Japan) (En,Ja);Gauntlet IV (Japan) (En,Ja);Sega Mega Drive Japan;;1993;Tengen;;4+;;;;;;;;;
Gauntlet IV (USA, Europe);Gauntlet IV (USA, Europe);Sega Genesis;;1993;M2;Platform;;;;;0;;;;;
gauntletj12;Gauntlet (Japanese, rev 12);Arcade;gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletj12;Gauntlet (Japanese, rev 12);Final Burn Alpha;gauntlet;1985;Atari Games;;;;;;0;;;;;
gauntletj12;Gauntlet (Japanese, rev 12);MAME (Advance);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletj12;Gauntlet (Japanese, rev 12);MAME (Libretro);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletj12;Gauntlet (Japanese, rev 12);MAME (Mame4all);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
Gauntlet (Japan) (En,Ja);Gauntlet (Japan) (En,Ja);Sega Mega Drive Japan;;;;;;;;;;;;;;
Gauntlet (Japan);Gauntlet (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
gauntletj;Gauntlet (Japanese, rev 13);Arcade;gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletj;Gauntlet (Japanese, rev 13);Final Burn Alpha;gauntlet;1985;Atari Games;;;;;;0;;;;;
gauntletj;Gauntlet (Japanese, rev 13);MAME (Advance);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletj;Gauntlet (Japanese, rev 13);MAME (Libretro);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletj;Gauntlet (Japanese, rev 13);MAME (Mame4all);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
Gauntlet Legends (USA);Gauntlet Legends (USA);Nintendo 64;;1999;Midway;Action;;;;;0;;;;;
Gauntlet Legends (USA);Gauntlet Legends (USA);Sega Dreamcast;;2000;Midway;Action;;;;;0;;;;;
Gauntlet Legends (USA);Gauntlet Legends (USA);Sony PlayStation;;2000;Midway;Action;;;;;0;;;;;
Gauntlet Legends (USA);Gauntlet Legends (USA);Sony PSP;;2000;Midway;Action;;;;;0;;;;;
Gauntlet (Micro Power) (Europe);Gauntlet (Micro Power) (Europe);Amstrad CPC;;1985;Micro Power;Shoot-'Em-Up;;;;;0;;;;;
Gauntlet of Meldir (Europe);Gauntlet of Meldir (Europe);Sinclair ZX Spectrum;;1990;Sheila Hunt;Adventure;;;;;0;;;;;
gauntletr1;Gauntlet (rev 1);Arcade;gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletr1;Gauntlet (rev 1);Final Burn Alpha;gauntlet;1985;Atari Games;;;;;;0;;;;;
gauntletr1;Gauntlet (rev 1);MAME (Advance);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletr1;Gauntlet (rev 1);MAME (Libretro);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletr1;Gauntlet (rev 1);MAME (Mame4all);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletr2;Gauntlet (rev 2);Arcade;gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletr2;Gauntlet (rev 2);Final Burn Alpha;gauntlet;1985;Atari Games;;;;;;0;;;;;
gauntletr2;Gauntlet (rev 2);MAME (Advance);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletr2;Gauntlet (rev 2);MAME (Libretro);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletr2;Gauntlet (rev 2);MAME (Mame4all);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletr4;Gauntlet (rev 4);Arcade;gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletr4;Gauntlet (rev 4);Final Burn Alpha;gauntlet;1985;Atari Games;;;;;;0;;;;;
gauntletr4;Gauntlet (rev 4);MAME (Advance);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletr4;Gauntlet (rev 4);MAME (Libretro);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletr4;Gauntlet (rev 4);MAME (Mame4all);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletr5;Gauntlet (rev 5);Arcade;gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletr5;Gauntlet (rev 5);Final Burn Alpha;gauntlet;1985;Atari Games;;;;;;0;;;;;
