#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
007 - A View to a Kill;007 - A View to a Kill;Amstrad CPC;;;;;;;;;;;;;;
Advanced Destroyer Simulator (France);Advanced Destroyer Simulator (France);Amstrad CPC;;;;;;;;;;;;;;
Advanced Lawnmowing Simulator (Europe) (Unl);Advanced Lawnmowing Simulator (Europe) (Unl);Amstrad CPC;;;;;;;;;;;;;;
Advanced Pinball Simulator;Advanced Pinball Simulator;Amstrad CPC;;;Codemasters;;;;;;;;;;;
Advanced Pinball Simulator (Europe);Advanced Pinball Simulator (Europe);Amstrad CPC;;;Codemasters;;;;;;;;;;;
Advanced Tactical Fighter;Advanced Tactical Fighter;Amstrad CPC;;;;;;;;;;;;;;
Advanced Tactical Fighter (Europe);Advanced Tactical Fighter (Europe);Amstrad CPC;;;;;;;;;;;;;;
Adventure A - The Planet of Death (Europe);Adventure A - The Planet of Death (Europe);Amstrad CPC;;;;;;;;;;;;;;
Adventure B - Inca Curse;Adventure B - Inca Curse;Amstrad CPC;;;;;;;;;;;;;;
Adventure B - Inca Curse (Europe);Adventure B - Inca Curse (Europe);Amstrad CPC;;;;;;;;;;;;;;
Adventure C - The Ship of Doom (Europe);Adventure C - The Ship of Doom (Europe);Amstrad CPC;;;;;;;;;;;;;;
Adventure D - Espionage Island (Europe);Adventure D - Espionage Island (Europe);Amstrad CPC;;;;;;;;;;;;;;
Adventure Quest (Europe);Adventure Quest (Europe);Amstrad CPC;;;;;;;;;;;;;;
Adventures du ka Traitement Bzzz, Les;Adventures du ka Traitement Bzzz, Les;Amstrad CPC;;;;;;;;;;;;;;
Adventures of Basildon Bond, The (Europe);Adventures of Basildon Bond, The (Europe);Amstrad CPC;;;;;;;;;;;;;;
Adventures of Zebedee Gonig, The (Europe);Adventures of Zebedee Gonig, The (Europe);Amstrad CPC;;;;;;;;;;;;;;
African Trail Simulator (Europe);African Trail Simulator (Europe);Amstrad CPC;;;;;;;;;;;;;;
After Shock (Europe);After Shock (Europe);Amstrad CPC;;;;;;;;;;;;;;
After the War (Europe);After the War (Europe);Amstrad CPC;;;;;;;;;;;;;;
Afterburner (Europe);Afterburner (Europe);Amstrad CPC;;;;;;;;;;;;;;
Aftermath;Aftermath;Amstrad CPC;;1988;;;;;;;;;;;;
Aftermath (Europe);Aftermath (Europe);Amstrad CPC;;1988;;;;;;;;;;;;
Afteroids (Spain);Afteroids (Spain);Amstrad CPC;;;;Shooter;;;;;;;;;;
Agatha's Folly - Part 1 (Europe);Agatha's Folly - Part 1 (Europe);Amstrad CPC;;;;;;;;;;;;;;
Agatha's Folly - Part 2 (Europe);Agatha's Folly - Part 2 (Europe);Amstrad CPC;;;;;;;;;;;;;;
Agent Orange (Europe);Agent Orange (Europe);Amstrad CPC;;;;;;;;;;;;;;
Agent-X II (Europe);Agent-X II (Europe);Amstrad CPC;;;;;;;;;;;;;;
Ahhh!! (Europe);Ahhh!! (Europe);Amstrad CPC;;;;;;;;;;;;;;
Aigle d'Or, L';Aigle d'Or, L';Amstrad CPC;;;;;;;;;;;;;;
Air Cobra;Air Cobra;Amstrad CPC;;;;;;;;;;;;;;
Air Traffic Control (Europe);Air Traffic Control (Europe);Amstrad CPC;;;;;;;;;;;;;;
Airballs (Europe) (Unl);Airballs (Europe) (Unl);Amstrad CPC;;;;;;;;;;;;;;
Airborne Ranger (Europe) (Disk 1);Airborne Ranger (Europe) (Disk 1);Amstrad CPC;;;;;;;;;;;;;;
Airborne Ranger (Europe) (Disk 2);Airborne Ranger (Europe) (Disk 2);Amstrad CPC;;;;;;;;;;;;;;
Airwolf (Europe);Airwolf (Europe);Amstrad CPC;;;;Action / Shooter;1;;;;;;;;;
Airwolf II;Airwolf II;Amstrad CPC;;;;Shooter;;;;;;;;;;
Airwolf II (Europe);Airwolf II (Europe);Amstrad CPC;;;;Shooter;;;;;;;;;;
Al-Strad (Europe);Al-Strad (Europe);Amstrad CPC;;;;;;;;;;;;;;
Aladdin's Cave (Europe);Aladdin's Cave (Europe);Amstrad CPC;;;;;;;;;;;;;;
Alex Higgins World Pool (Europe);Alex Higgins World Pool (Europe);Amstrad CPC;;;;;;;;;;;;;;
Alex Higgins World Snooker;Alex Higgins World Snooker;Amstrad CPC;;;;;;;;;;;;;;
Alex Higgins World Snooker (Europe);Alex Higgins World Snooker (Europe);Amstrad CPC;;;;;;;;;;;;;;
Ali Candil y el Tesoro de Sierra Morena (Spain);Ali Candil y el Tesoro de Sierra Morena (Spain);Amstrad CPC;;;;;;;;;;;;;;
Ali-Baba (France);Ali-Baba (France);Amstrad CPC;;;;;;;;;;;;;;
Alien (Europe);Alien (Europe);Amstrad CPC;;;Amsoft;Strategy;;;;;;;;;;
Alien 8 (Europe);Alien 8 (Europe);Amstrad CPC;;;;;;;;;;;;;;
Alien Attack (Europe) (Unl);Alien Attack (Europe) (Unl);Amstrad CPC;;;;;;;;;;;;;;
Alien Break-In (Europe);Alien Break-In (Europe);Amstrad CPC;;;;;;;;;;;;;;
Alien Highway - Encounter 2 (Europe);Alien Highway - Encounter 2 (Europe);Amstrad CPC;;;;;;;;;;;;;;
Alien Storm;Alien Storm;Amstrad CPC;;;;;;;;;;;;;;
Alien Storm (Europe) (Disk 1);Alien Storm (Europe) (Disk 1);Amstrad CPC;;;;;;;;;;;;;;
Alien Storm (Europe) (Disk 2);Alien Storm (Europe) (Disk 2);Amstrad CPC;;;;;;;;;;;;;;
Alien Syndrome;Alien Syndrome;Amstrad CPC;;;;Shooter;;;;;;;;;;
Alien Syndrome (Europe);Alien Syndrome (Europe);Amstrad CPC;;;;Shooter;;;;;;;;;;
Alien Tank Attack;Alien Tank Attack;Amstrad CPC;;;;;;;;;;;;;;
Aliens;Aliens;Amstrad CPC;;;Electric Dreams;Action / Adventure / Strategy;;;;;;;;;;
Aliens (Arcadian) (Europe);Aliens (Arcadian) (Europe);Amstrad CPC;;;Electric Dreams;Action / Adventure / Strategy;;;;;;;;;;
Aliens (Electric Dreams) (Europe);Aliens (Electric Dreams) (Europe);Amstrad CPC;;;Electric Dreams;Action / Adventure / Strategy;;;;;;;;;;
Aliens The Computer Game (USA);Aliens The Computer Game (USA);Amstrad CPC;;;;;;;;;;;;;;
Aligator (France) (Unl);Aligator (France) (Unl);Amstrad CPC;;;;;;;;;;;;;;
Alinka (France) (Unl);Alinka (France) (Unl);Amstrad CPC;;;;;;;;;;;;;;
Alkahera (Europe);Alkahera (Europe);Amstrad CPC;;;;;;;;;;;;;;
All Points Bulletin (Europe);All Points Bulletin (Europe);Amstrad CPC;;;;;;;;;;;;;;
Alpha Jet (Europe) (Unl);Alpha Jet (Europe) (Unl);Amstrad CPC;;;;;;;;;;;;;;
Alpha-Jet (France);Alpha-Jet (France);Amstrad CPC;;;;;;;;;;;;;;
Alphakhor;Alphakhor;Amstrad CPC;;1989;Loriciels;Adventure;;;;;;;;;;
Alpine Games;Alpine Games;Amstrad CPC;;;;;;;;;;;;;;
Alpine Games (Europe);Alpine Games (Europe);Amstrad CPC;;;;;;;;;;;;;;
Altered Beast;Altered Beast;Amstrad CPC;;;;Action;;;;;;;;;;
Altered Beast (Europe) (Disk 1);Altered Beast (Europe) (Disk 1);Amstrad CPC;;;;Action;;;;;;;;;;
Altered Beast (Europe) (Disk 2);Altered Beast (Europe) (Disk 2);Amstrad CPC;;;;Action;;;;;;;;;;
Alternative World Games (Europe) (Side A);Alternative World Games (Europe) (Side A);Amstrad CPC;;;;;;;;;;;;;;
Alternative World Games (Europe) (Side B);Alternative World Games (Europe) (Side B);Amstrad CPC;;;;;;;;;;;;;;
Amaurote;Amaurote;Amstrad CPC;;;;Action;;;;;;;;;;
Amaurote (Europe);Amaurote (Europe);Amstrad CPC;;;;Action;;;;;;;;;;
Amazing Shrinking Man, The (Europe);Amazing Shrinking Man, The (Europe);Amstrad CPC;;;;;;;;;;;;;;
Amelie Minuit;Amelie Minuit;Amstrad CPC;;;;;;;;;;;;;;
America's Cup Challenge;America's Cup Challenge;Amstrad CPC;;;;;;;;;;;;;;
American Football;American Football;Amstrad CPC;;;;;;;;;;;;;;
American Football (Europe);American Football (Europe);Amstrad CPC;;;;;;;;;;;;;;
American Tag Team Wrestling (Europe);American Tag Team Wrestling (Europe);Amstrad CPC;;;;Sports;;;;;;;;;;
American Turbo King;American Turbo King;Amstrad CPC;;;;;;;;;;;;;;
American Turbo King (Europe);American Turbo King (Europe);Amstrad CPC;;;;;;;;;;;;;;
Amnesia;Amnesia;Amstrad CPC;;1998;;;;;;;;;;;;
Amo del Mundo (Spain);Amo del Mundo (Spain);Amstrad CPC;;;;;;;;;;;;;;
Amsgolf (Europe);Amsgolf (Europe);Amstrad CPC;;;;;;;;;;;;;;
Amsoccer (Europe);Amsoccer (Europe);Amstrad CPC;;;;;;;;;;;;;;
Amstra-Dames (France);Amstra-Dames (France);Amstrad CPC;;;;;;;;;;;;;;
Amstrad Disk 50 (Europe) (Side A);Amstrad Disk 50 (Europe) (Side A);Amstrad CPC;;;;;;;;;;;;;;
Amstrad Disk 50 (Europe) (Side B);Amstrad Disk 50 (Europe) (Side B);Amstrad CPC;;;;;;;;;;;;;;
Amstrad Shuffle (Europe);Amstrad Shuffle (Europe);Amstrad CPC;;;;;;;;;;;;;;
Anarchy;Anarchy;Amstrad CPC;;;;;;;;;;;;;;
Anarchy (Europe);Anarchy (Europe);Amstrad CPC;;;;;;;;;;;;;;
Android 2 (Europe);Android 2 (Europe);Amstrad CPC;;;;;;;;;;;;;;
Android One - The Reactor Run (Europe);Android One - The Reactor Run (Europe);Amstrad CPC;;;;;;;;;;;;;;
Andy Capp (Europe);Andy Capp (Europe);Amstrad CPC;;;;;;;;;;;;;;
Angel Nieto Pole 500cc;Angel Nieto Pole 500cc;Amstrad CPC;;;;;;;;;;;;;;
Angel Nieto Pole 500cc (Spain);Angel Nieto Pole 500cc (Spain);Amstrad CPC;;;;;;;;;;;;;;
Angelique - A Grief Encounter;Angelique - A Grief Encounter;Amstrad CPC;;;;;;;;;;;;;;
Angelique - A Grief Encounter (Europe);Angelique - A Grief Encounter (Europe);Amstrad CPC;;;;;;;;;;;;;;
Angleball (Europe);Angleball (Europe);Amstrad CPC;;;;;;;;;;;;;;
Animal Vegetable Mineral;Animal Vegetable Mineral;Amstrad CPC;;;;;;;;;;;;;;
Animated Strip Poker (Europe);Animated Strip Poker (Europe);Amstrad CPC;;;;;;;;;;;;;;
Anna (Australia);Anna (Australia);Amstrad CPC;;;;;;;;;;;;;;
Anna Conda (Europe);Anna Conda (Europe);Amstrad CPC;;;;;;;;;;;;;;
Annals Of Rome (Europe);Annals Of Rome (Europe);Amstrad CPC;;;;;;;;;;;;;;
Answer Back Junior Quiz (Europe) (Disk 1);Answer Back Junior Quiz (Europe) (Disk 1);Amstrad CPC;;;;;;;;;;;;;;
