American 3D Pool (Europe);American 3D Pool (Europe);Sinclair ZX Spectrum;;1992;Zeppelin Games;Sports/Pool and Dart;;;;;0;;;;;
American Pool (USA);American Pool (USA);Sony PlayStation;;2003;Mud Duck Productions;Sports/Pool and Dart;;;;;0;;;;;
American Pool (USA);American Pool (USA);Sony PSP;;2003;Mud Duck Productions;Sports/Pool and Dart;;;;;0;;;;;
Angleball (Europe);Angleball (Europe);Amstrad CPC;;1987;Mastertronic;Sports/Pool and Dart;;;;;0;;;;;
Angle Ball (Europe);Angle Ball (Europe);Commodore 64;;1987;MAD (Mastertronic's Added Dimension);Sports/Pool and Dart;;;;;0;;;;;
Angleball (Europe);Angleball (Europe);Sinclair ZX Spectrum;;1987;Mastertronic Added Dimension;Sports/Pool and Dart;;;;;0;;;;;
Arcade Pool (USA);Arcade Pool;Sony PSP Minis;;2012;Icon Games;Sports;;;;;0;;;;;
Archer Maclean's 3D Pool (Europe);Archer Maclean's 3D Pool (Europe);Sony PlayStation;;2003;Ignition Entertainment;Sports/Pool and Dart;;;;;0;;;;;
Archer Maclean's 3D Pool (Europe);Archer Maclean's 3D Pool (Europe);Sony PSP;;2003;Ignition Entertainment;Sports/Pool and Dart;;;;;0;;;;;
Archer MacLean's Pool (USA);Archer MacLean's Pool (USA);Atari ST;;1992;Virgin Mastertronic;Sports/Pool and Dart;;;;;0;;;;;
Backstreet Billiards (USA);Backstreet Billiards (USA);Sony PlayStation;;1998;ASCII Entertainment;Sports/Pool and Dart;;;;;0;;;;;
Backstreet Billiards (USA);Backstreet Billiards (USA);Sony PSP;;1998;ASCII Entertainment;Sports/Pool and Dart;;;;;0;;;;;
Billiards Simulator (Europe);Billiards Simulator (Europe);Atari ST;;1991;Ere Informatique;Sports/Pool and Dart;;;;;0;;;;;
Billiards Simulator II (Europe);Billiards Simulator II (Europe);Atari ST;;1991;Infogrames;Sports/Pool and Dart;;;;;0;;;;;
Billiards (USA);Billiards (USA);Sony PlayStation;;2001;A1 Games;Sports/Pool and Dart;;;;;0;;;;;
Billiards (USA);Billiards (USA);Sony PSP;;2001;A1 Games;Sports/Pool and Dart;;;;;0;;;;;
billiard;The Billiards (Video Hustler bootleg);Arcade;hustler;1981;bootleg;Sports / Pool;;;;;0;;;;;
billiard;The Billiards (Video Hustler bootleg);Final Burn Alpha;hustler;1981;bootleg;Sports / Pool;;;;;0;;;;;
billiard;The Billiards (Video Hustler bootleg);MAME (Advance);hustler;1981;bootleg;Sports / Pool;;;;;0;;;;;
billiard;The Billiards (Video Hustler bootleg);MAME (Libretro);hustler;1981;bootleg;Sports / Pool;;;;;0;;;;;
billiard;The Billiards (Video Hustler bootleg);MAME (Mame4all);hustler;1981;bootleg;Sports / Pool;;;;;0;;;;;
Billiard (USA);Billiard (USA);Commodore 64;;1984;Alma Compute;Sports/Pool and Dart;;;;;0;;;;;
billlist;Billard List;Arcade;pokechmp;1995;D.G.R.M.;Sports / Pool * Mature *;;;;;0;;;;;
billlist;Billard List;Final Burn Alpha;pokechmp;1995;D.G.R.M.;Sports / Pool * Mature *;;;;;0;;;;;
billlist;Billard List;MAME (Advance);pokechmp;1995;D.G.R.M.;Sports / Pool * Mature *;;;;;0;;;;;
billlist;Billard List;MAME (Libretro);pokechmp;1995;D.G.R.M.;Sports / Pool * Mature *;;;;;0;;;;;
billlist;Billard List;MAME (Mame4all);pokechmp;1995;D.G.R.M.;Sports / Pool * Mature *;;;;;0;;;;;
bilyard;Billiard;Arcade;;1988;Terminal;Sports / Pool;;;;;0;;;;;
bilyard;Billiard;Final Burn Alpha;;1988;Terminal;Sports / Pool;;;;;0;;;;;
bilyard;Billiard;MAME (Advance);;1988;Terminal;Sports / Pool;;;;;0;;;;;
bilyard;Billiard;MAME (Libretro);;1988;Terminal;Sports / Pool;;;;;0;;;;;
bilyard;Billiard;MAME (Mame4all);;1988;Terminal;Sports / Pool;;;;;0;;;;;
Break Time - The National Pool Tour (USA);Break Time - The National Pool Tour (USA);Nintendo Entertainment System;;1993;FCI, Inc.;Sports/Pool and Dart;;;;;0;;;;;
Bullseye (Europe);Bullseye (Europe);Commodore 64;;1985;Macsen Software;Sports/Pool and Dart;;;;;0;;;;;
Bully's Sporting Darts) (Europe);Bully's Sporting Darts) (Europe);Amstrad CPC;;1993;Alternative Software;Sports/Pool and Dart;;;;;0;;;;;
Bully's Sporting Darts (Europe);Bully's Sporting Darts (Europe);Atari ST;;1993;Alternative Software;Sports/Pool and Dart;;;;;0;;;;;
Bully's Sporting Darts (Europe);Bully's Sporting Darts (Europe);Commodore 64;;1992;Alternative Software;Sports/Pool and Dart;;;;;0;;;;;
Bully's Sporting Darts (Europe);Bully's Sporting Darts (Europe);Sinclair ZX Spectrum;;1993;Alternative Software;Sports/Pool and Dart;;;;;0;;;;;
carket;Carket Ball;Arcade;;1996;SemiCom;Sports / Pool;;;;;0;;;;;
carket;Carket Ball;Final Burn Alpha;;1996;SemiCom;Sports / Pool;;;;;0;;;;;
carket;Carket Ball;MAME (Advance);;1996;SemiCom;Sports / Pool;;;;;0;;;;;
carket;Carket Ball;MAME (Libretro);;1996;SemiCom;Sports / Pool;;;;;0;;;;;
carket;Carket Ball;MAME (Mame4all);;1996;SemiCom;Sports / Pool;;;;;0;;;;;
Championship 3D Snooker (Europe);Championship 3D Snooker (Europe);Commodore 64;;1992;Zeppelin Games;Sports/Pool and Dart;;;;;0;;;;;
Championship 3D Snooker (Europe);Championship 3D Snooker (Europe);Sinclair ZX Spectrum;;1992;Zeppelin Games Ltd;Sports/Pool and Dart;;;;;0;;;;;
Championship Darts (Europe);Championship Darts (Europe);Sinclair ZX Spectrum;;1983;Shadow Software;Sports/Pool and Dart;;;;;0;;;;;
Championship Pool (USA);Championship Pool (USA);Nintendo Entertainment System;;1993;Mindscape Inc.;Sports/Pool and Dart;;;;;0;;;;;
Championship Pool (USA);Championship Pool (USA);Nintendo Game Boy;;1993;Mindscape Inc.;Sports/Pool and Dart;;;;;0;;;;;
Championship Pool (USA);Championship Pool (USA);Sega Genesis;;1993;Bitmasters;Sports/Pool and Dart;;;;;0;;;;;
Championship Pool (USA);Championship Pool (USA);Super Nintendo Entertainment System;;1993;Mindscape;Sports/Pool and Dart;;;;;0;;;;;
coolpool;Cool Pool;Arcade;;1992;Catalina;Sports / Pool;;;;;0;;;;;
coolpool;Cool Pool;Final Burn Alpha;;1992;Catalina;Sports / Pool;;;;;0;;;;;
coolpool;Cool Pool;MAME (Advance);;1992;Catalina;Sports / Pool;;;;;0;;;;;
coolpool;Cool Pool;MAME (Libretro);;1992;Catalina;Sports / Pool;;;;;0;;;;;
coolpool;Cool Pool;MAME (Mame4all);;1992;Catalina;Sports / Pool;;;;;0;;;;;
Cue Boy (Europe);Cue Boy (Europe);Commodore 64;;1993;Codemasters;Sports/Pool and Dart;;;;;0;;;;;
Darts (Alligata-1986) (Europe);Darts (Alligata-1986) (Europe);Amstrad CPC;;1986;Alligata Software;Sports/Pool and Dart;;;;;0;;;;;
Darts (Alligata-1987) (Europe);Darts (Alligata-1987) (Europe);Amstrad CPC;;1987;Alligata Software;Sports/Pool and Dart;;;;;0;;;;;
Darts (Blue Ribbon Software) (Europe);Darts (Blue Ribbon Software) (Europe);Amstrad CPC;;1985;Blue Ribbon Software;Sports/Pool and Dart;;;;;0;;;;;
Darts (Magazin Players Dream) (Europe) (Unl);Darts (Magazin Players Dream) (Europe) (Unl);Amstrad CPC;;1985;Magazin Players Dream;Sports/Pool and Dart;;;;;0;;;;;
Darts (Mr. Chip Software) (Europe);Darts (Mr. Chip Software) (Europe);Sinclair ZX Spectrum;;1982;Mr. Chip Software;Sports/Pool and Dart;;;;;0;;;;;
Darts (Soft 2000) (Europe);Darts (Soft 2000) (Europe);Sinclair ZX Spectrum;;1985;Soft 2000;Sports/Pool and Dart;;;;;0;;;;;
Dartz (Europe);Dartz (Europe);Sinclair ZX Spectrum;;1984;Automata UK;Sports/Pool and Dart;;;;;0;;;;;
Doodle Pool (USA);Doodle Pool;Sony PSP Minis;;2011;Big Head Games;Sports;;;;;0;;;;;
Electronic Pool (Europe);Electronic Pool (Europe);Atari ST;;1986;Microdeal;Sports/Pool and Dart;;;;;0;;;;;
Eric Bristow's Pro-Darts (Europe);Eric Bristow's Pro-Darts (Europe);Sinclair ZX Spectrum;;1984;Quicksilva;Sports/Pool and Dart;;;;;0;;;;;
Exciting Billiard (Japan);Exciting Billiard (Japan);Nintendo Famicom Disk System;;1987;Konami;Sports/Pool and Dart;;;;;0;;;;;
Fleche (Europe);Fleche (Europe);Amstrad CPC;;1989;Black System;Sports/Pool and Dart;;;;;0;;;;;
galhustl;Gals Hustler;Arcade;pgalvip;1997;ACE International;Sports / Pool * Mature *;;;;;0;;;;;
galhustl;Gals Hustler;Final Burn Alpha;pgalvip;1997;ACE International;Sports / Pool * Mature *;;;;;0;;;;;
galhustl;Gals Hustler;MAME (Advance);pgalvip;1997;ACE International;Sports / Pool * Mature *;;;;;0;;;;;
galhustl;Gals Hustler;MAME (Libretro);pgalvip;1997;ACE International;Sports / Pool * Mature *;;;;;0;;;;;
galhustl;Gals Hustler;MAME (Mame4all);pgalvip;1997;ACE International;Sports / Pool * Mature *;;;;;0;;;;;
Giger Pool (Denmark);Giger Pool (Denmark);Commodore 64;;1988;Digital Design;Sports/Pool and Dart;;;;;0;;;;;
gimeabrk;Gimme A Break (7/7/85);Arcade;;1985;Bally/Sente;Sports / Pool;;;;;0;;;;;
gimeabrk;Gimme A Break (7/7/85);Final Burn Alpha;;1985;Bally/Sente;Sports / Pool;;;;;0;;;;;
gimeabrk;Gimme A Break (7/7/85);MAME (Advance);;1985;Bally/Sente;Sports / Pool;;;;;0;;;;;
gimeabrk;Gimme A Break (7/7/85);MAME (Libretro);;1985;Bally/Sente;Sports / Pool;;;;;0;;;;;
gimeabrk;Gimme A Break (7/7/85);MAME (Mame4all);;1985;Bally/Sente;Sports / Pool;;;;;0;;;;;
hexpoola;Hex Pool (Senko);Arcade;racknrol;1985;Senko Industries;Sports / Pool;;;;;0;;;;;
hexpoola;Hex Pool (Senko);Final Burn Alpha;racknrol;1985;Senko Industries;Sports / Pool;;;;;0;;;;;
