12in1;12 in 1;Final Burn Alpha;;199?;unlicensed;;;;;;0;;;;;
19xxjr2;19XX The War Against Destiny (Japan 951207);MAME (Mame4all);19xx;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
2020bb;2020 Super Baseball (set 1);Arcade;;1991;SNK / Pallas;Sports / Baseball;;;;;0;;;;;
2020bb;2020 Super Baseball (set 1);Final Burn Alpha;;1991;SNK / Pallas;;;;;;0;;;;;
2020bb;2020 Super Baseball (set 1);MAME (Advance);;1991;SNK / Pallas;Sports / Baseball;;;;;0;;;;;
2020bb;2020 Super Baseball (set 1);MAME (Libretro);;1991;SNK / Pallas;Sports / Baseball;;;;;0;;;;;
2020bb;2020 Super Baseball (set 1);MAME (Mame4all);;1991;SNK / Pallas;Sports / Baseball;;;;;0;;;;;
2020bba;2020 Super Baseball (set 2);Arcade;2020bb;1991;SNK / Pallas;Sports / Baseball;;;;;0;;;;;
2020bba;2020 Super Baseball (set 2);Final Burn Alpha;2020bb;1991;SNK / Pallas;;;;;;0;;;;;
2020bba;2020 Super Baseball (set 2);MAME (Advance);2020bb;1991;SNK / Pallas;Sports / Baseball;;;;;0;;;;;
2020bba;2020 Super Baseball (set 2);MAME (Libretro);2020bb;1991;SNK / Pallas;Sports / Baseball;;;;;0;;;;;
2020bba;2020 Super Baseball (set 2);MAME (Mame4all);2020bb;1991;SNK / Pallas;Sports / Baseball;;;;;0;;;;;
2020bbh;2020 Super Baseball (set 3);Arcade;2020bb;1991;SNK / Pallas;Sports / Baseball;;;;;0;;;;;
2020bbh;2020 Super Baseball (set 3);Final Burn Alpha;2020bb;1991;SNK / Pallas;;;;;;0;;;;;
2020bbh;2020 Super Baseball (set 3);MAME (Advance);2020bb;1991;SNK / Pallas;Sports / Baseball;;;;;0;;;;;
2020bbh;2020 Super Baseball (set 3);MAME (Libretro);2020bb;1991;SNK / Pallas;Sports / Baseball;;;;;0;;;;;
2020bbh;2020 Super Baseball (set 3);MAME (Mame4all);2020bb;1991;SNK / Pallas;Sports / Baseball;;;;;0;;;;;
2020bbj;2020 Toshi Super Baseball (Jpn);Final Burn Alpha;2020bb;1994;Electronic Arts Victor;;;;;;0;;;;;
21emon;21 Emon - Mezase Hotel ou!!;Final Burn Alpha;;1994;NEC Home Electronics;;;;;;0;;;;;
2psymmac;2 in 1 - Psycho Pinball & Micro Machines (Euro);Final Burn Alpha;;1993;Codemasters;;;;;;0;;;;;
30test;30 Test (Remake);Arcade;;1997;Namco;Misc.;;;;;0;;;;;
30test;30 Test (Remake);MAME (Advance);;1997;Namco;Misc.;;;;;0;;;;;
30test;30 Test (Remake);MAME (Libretro);;1997;Namco;Misc.;;;;;0;;;;;
30test;30 Test (Remake);MAME (Mame4all);;1997;Namco;Misc.;;;;;0;;;;;
3bagflnz;3 Bags Full (3VXFC5345, New Zealand);Arcade;3bagflvt;1996;Aristocrat;Casino / Reels;;;;;0;;;;;
3bagflnz;3 Bags Full (3VXFC5345, New Zealand);MAME (Advance);3bagflvt;1996;Aristocrat;Casino / Reels;;;;;0;;;;;
3bagflnz;3 Bags Full (3VXFC5345, New Zealand);MAME (Libretro);3bagflvt;1996;Aristocrat;Casino / Reels;;;;;0;;;;;
3bagflnz;3 Bags Full (3VXFC5345, New Zealand);MAME (Mame4all);3bagflvt;1996;Aristocrat;Casino / Reels;;;;;0;;;;;
3bagflvt;3 Bags Full (5VXFC790, Victoria);Arcade;;1996;Aristocrat;Casino / Reels;;;;;0;;;;;
3bagflvt;3 Bags Full (5VXFC790, Victoria);MAME (Advance);;1996;Aristocrat;Casino / Reels;;;;;0;;;;;
3bagflvt;3 Bags Full (5VXFC790, Victoria);MAME (Libretro);;1996;Aristocrat;Casino / Reels;;;;;0;;;;;
3bagflvt;3 Bags Full (5VXFC790, Victoria);MAME (Mame4all);;1996;Aristocrat;Casino / Reels;;;;;0;;;;;
3countb;3 Count Bout / Fire Suplex (NGM-043)(NGH-043);Arcade;;1993;SNK;Sports / Wrestling;;;;;0;;;;;
3countb;3 Count Bout / Fire Suplex (NGM-043)(NGH-043);Final Burn Alpha;;1993;SNK;;;;;;0;;;;;
3countb;3 Count Bout / Fire Suplex (NGM-043)(NGH-043);MAME (Advance);;1993;SNK;Sports / Wrestling;;;;;0;;;;;
3countb;3 Count Bout / Fire Suplex (NGM-043)(NGH-043);MAME (Libretro);;1993;SNK;Sports / Wrestling;;;;;0;;;;;
3countb;3 Count Bout / Fire Suplex (NGM-043)(NGH-043);MAME (Mame4all);;1993;SNK;Sports / Wrestling;;;;;0;;;;;
3in1fwt;3 in 1 Flashback - World Championship Soccer - Tecmo World Cup 92 (Pirate);Final Burn Alpha;;199?;unknown;;;;;;0;;;;;
3in1rmb;3 in 1 Road Rash - Ms. Pac-Man - Block Out (Pirate);Final Burn Alpha;;199?;unknown;;;;;;0;;;;;
3in1semi;XESS - The New Revolution (SemiCom 3-in-1);Arcade;;1997;SemiCom;Multiplay / Compilation;;;;;0;;;;;
3in1semi;XESS - The New Revolution (SemiCom 3-in-1);Final Burn Alpha;;1997;SemiCom;;;;;;0;;;;;
3in1semi;XESS - The New Revolution (SemiCom 3-in-1);MAME (Advance);;1997;SemiCom;Multiplay / Compilation;;;;;0;;;;;
3in1semi;XESS - The New Revolution (SemiCom 3-in-1);MAME (Libretro);;1997;SemiCom;Multiplay / Compilation;;;;;0;;;;;
3in1semi;XESS - The New Revolution (SemiCom 3-in-1);MAME (Mame4all);;1997;SemiCom;Multiplay / Compilation;;;;;0;;;;;
3kokushi;Sankokushi (Japan);Arcade;;1996;Mitchell;Puzzle / Match * Mature *;;;;;0;;;;;
3kokushi;Sankokushi (Japan);MAME (Advance);;1996;Mitchell;Puzzle / Match * Mature *;;;;;0;;;;;
3kokushi;Sankokushi (Japan);MAME (Libretro);;1996;Mitchell;Puzzle / Match * Mature *;;;;;0;;;;;
3kokushi;Sankokushi (Japan);MAME (Mame4all);;1996;Mitchell;Puzzle / Match * Mature *;;;;;0;;;;;
3ninja;3 Ninjas Kick Back (USA);Final Burn Alpha;;1994;Psygnosis;;;;;;0;;;;;
3on3dunk;3 On 3 Dunk Madness (US, prototype? 1997/02/04);Arcade;;1996;Video System Co.;Sports / Basketball;;;;;0;;;;;
3on3dunk;3 On 3 Dunk Madness (US, prototype? 1997/02/04);MAME (Advance);;1996;Video System Co.;Sports / Basketball;;;;;0;;;;;
3on3dunk;3 On 3 Dunk Madness (US, prototype? 1997/02/04);MAME (Libretro);;1996;Video System Co.;Sports / Basketball;;;;;0;;;;;
3on3dunk;3 On 3 Dunk Madness (US, prototype? 1997/02/04);MAME (Mame4all);;1996;Video System Co.;Sports / Basketball;;;;;0;;;;;
3wonders;Three Wonders (World 910520);Arcade;;1991;Capcom;Multiplay / Compilation;;;;;0;;;;;
3wonders;Three Wonders (World 910520);MAME (Advance);;1991;Capcom;Multiplay / Compilation;;;;;0;;;;;
3wonders;Three Wonders (World 910520);MAME (Libretro);;1991;Capcom;Multiplay / Compilation;;;;;0;;;;;
3wonders;Three Wonders (World 910520);MAME (Mame4all);;1991;Capcom;Multiplay / Compilation;;;;;0;;;;;
3wonders;Three Wonders (wonder 3 910520 etc);Final Burn Alpha;;1991;Capcom;;;;;;0;;;;;
3wondersb;Three Wonders (bootleg set 2, wonder 3 910520 etc) [Bootleg];Final Burn Alpha;3wonders;1991;Capcom;;;;;;0;;;;;
3wondersh;Three Wonders (bootleg set 1, wonder 3 910520 etc) [Bootleg];Final Burn Alpha;3wonders;1991;Capcom;;;;;;0;;;;;
3wondersh;Three Wonders (hack);Arcade;3wonders;1991;bootleg;Multiplay / Compilation;;;;;0;;;;;
3wondersh;Three Wonders (hack);MAME (Advance);3wonders;1991;bootleg;Multiplay / Compilation;;;;;0;;;;;
3wondersh;Three Wonders (hack);MAME (Libretro);3wonders;1991;bootleg;Multiplay / Compilation;;;;;0;;;;;
3wondersh;Three Wonders (hack);MAME (Mame4all);3wonders;1991;bootleg;Multiplay / Compilation;;;;;0;;;;;
3wondersr1;Three Wonders (World 910513);Arcade;3wonders;1991;Capcom;Multiplay / Compilation;;;;;0;;;;;
3wondersr1;Three Wonders (World 910513);MAME (Advance);3wonders;1991;Capcom;Multiplay / Compilation;;;;;0;;;;;
3wondersr1;Three Wonders (World 910513);MAME (Libretro);3wonders;1991;Capcom;Multiplay / Compilation;;;;;0;;;;;
3wondersr1;Three Wonders (World 910513);MAME (Mame4all);3wonders;1991;Capcom;Multiplay / Compilation;;;;;0;;;;;
3wondersr1;Three Wonders (wonder 3 910513 etc);Final Burn Alpha;3wonders;1991;Capcom;;;;;;0;;;;;
3wondersu;Three Wonders (USA 910520);Arcade;3wonders;1991;Capcom;Multiplay / Compilation;;;;;0;;;;;
3wondersu;Three Wonders (USA 910520);MAME (Advance);3wonders;1991;Capcom;Multiplay / Compilation;;;;;0;;;;;
