#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Gex 64 - Enter the Gecko (USA);Gex 64 - Enter the Gecko (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Glover (Europe) (En,Fr,De);Glover (Europe) (En,Fr,De);Nintendo 64;;;;;;;;;;;;;;;;;;
Glover (USA);Glover (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Goemon's Great Adventure (USA);Goemon's Great Adventure (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Golden Nugget 64 (USA);Golden Nugget 64 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
GoldenEye 007 (E) [!];GoldenEye 007 (E) [!];Nintendo 64;;;;;;;;;;;;;;;;;;
GoldenEye 007 (E) [t1] (Rapid Fire);GoldenEye 007 (E) [t1] (Rapid Fire);Nintendo 64;;;;;;;;;;;;;;;;;;
Harvest Moon 64 (USA);Harvest Moon 64 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Hercules - The Legendary Journeys (USA);Hercules - The Legendary Journeys (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Hexen (Europe);Hexen (Europe);Nintendo 64;;;;;;;;;;;;;;;;;;
Hexen (USA);Hexen (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Hey You, Pikachu! (USA);Hey You, Pikachu! (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Hot Wheels - Turbo Racing (USA);Hot Wheels - Turbo Racing (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Hybrid Heaven (USA);Hybrid Heaven (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Hydro Thunder (USA);Hydro Thunder (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Iggy's Reckin' Balls (USA);Iggy's Reckin' Balls (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
In-Fisherman - Bass Hunter 64 (USA);In-Fisherman - Bass Hunter 64 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Indiana Jones and the Infernal Machine (USA);Indiana Jones and the Infernal Machine (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Indy Racing 2000 (USA);Indy Racing 2000 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
International Superstar Soccer '98 (USA);International Superstar Soccer '98 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
International Superstar Soccer 2000 (USA) (En,Es);International Superstar Soccer 2000 (USA) (En,Es);Nintendo 64;;;;;;;;;;;;;;;;;;
International Superstar Soccer 64 (USA);International Superstar Soccer 64 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
International Track & Field 2000 (USA);International Track & Field 2000 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Jeopardy! (USA);Jeopardy! (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Jeremy McGrath Supercross 2000 (USA);Jeremy McGrath Supercross 2000 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Jet Force Gemini (USA);Jet Force Gemini (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
John Romero's Daikatana (USA);John Romero's Daikatana (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Ken Griffey Jr.'s Slugfest (USA);Ken Griffey Jr.'s Slugfest (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Killer Instinct Gold (USA) (Rev B);Killer Instinct Gold (USA) (Rev B);Nintendo 64;;;;;;;;;;;;;;;;;;
Kirby 64 - The Crystal Shards (Europe);Kirby 64 - The Crystal Shards (Europe);Nintendo 64;;;;;;;;;;;;;;;;;;
Kirby 64 - The Crystal Shards (USA);Kirby 64 - The Crystal Shards (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Knife Edge - Nose Gunner (USA);Knife Edge - Nose Gunner (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Knockout Kings 2000 (USA);Knockout Kings 2000 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Kobe Bryant's NBA Courtside (USA);Kobe Bryant's NBA Courtside (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
LEGO Racers (USA) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi);LEGO Racers (USA) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi);Nintendo 64;;;;;;;;;;;;;;;;;;
Legend of Zelda, The - Majora's Mask (Europe) (En,Fr,De,Es) (Beta);Legend of Zelda, The - Majora's Mask (Europe) (En,Fr,De,Es) (Beta);Nintendo 64;;;;;;;;;;;;;;;;;;
Legend of Zelda, The - Majora's Mask (USA);Legend of Zelda, The - Majora's Mask (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Legend of Zelda, The - Ocarina of Time (Europe) (En,Fr,De) (Rev A);Legend of Zelda, The - Ocarina of Time (Europe) (En,Fr,De) (Rev A);Nintendo 64;;;;;;;;;;;;;;;;;;
Legend of Zelda, The - Ocarina of Time (USA) (Rev B);Legend of Zelda, The - Ocarina of Time (USA) (Rev B);Nintendo 64;;;;;;;;;;;;;;;;;;
Lode Runner 3-D (USA);Lode Runner 3-D (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Lylat Wars (Europe) (En,Fr,De);Lylat Wars (Europe) (En,Fr,De);Nintendo 64;;;;;;;;;;;;;;;;;;
MRC - Multi Racing Championship (USA);MRC - Multi Racing Championship (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Mace - The Dark Age (USA);Mace - The Dark Age (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Madden Football 64 (USA);Madden Football 64 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Madden NFL 2000 (USA);Madden NFL 2000 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Madden NFL 2001 (USA);Madden NFL 2001 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Madden NFL 2002 (USA);Madden NFL 2002 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Madden NFL 99 (USA);Madden NFL 99 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Magical Tetris Challenge (Europe);Magical Tetris Challenge (Europe);Nintendo 64;;;;;;;;;;;;;;;;;;
Magical Tetris Challenge (USA);Magical Tetris Challenge (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Major League Baseball featuring Ken Griffey Jr. (USA);Major League Baseball featuring Ken Griffey Jr. (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Mario Golf (Europe);Mario Golf (Europe);Nintendo 64;;;;;;;;;;;;;;;;;;
Mario Golf (USA);Mario Golf (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Mario Kart 64 (Europe) (Rev A);Mario Kart 64 (Europe) (Rev A);Nintendo 64;;;;;;;;;;;;;;;;;;
