cburnrub;Burnin' Rubber (DECO Cassette, set 1);MAME (Advance);;1982;Data East Corporation;Driving / Race;;;;;0;;;;;
cburnrub;Burnin' Rubber (DECO Cassette, set 1);MAME (Libretro);;1982;Data East Corporation;Driving / Race;;;;;0;;;;;
cburnrub;Burnin' Rubber (DECO Cassette, set 1);MAME (Mame4all);;1982;Data East Corporation;Driving / Race;;;;;0;;;;;
Championship Sprint 1993 - The Raceists II (USA) (Unl);Championship Sprint 1993 - The Raceists II (USA) (Unl);Commodore 64;;1993;David Jolliff, David Wainwright & Antichrist;Driving;;;;;0;;;;;
changela;Change Lanes;Arcade;;1983;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
changela;Change Lanes;MAME (Advance);;1983;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
changela;Change Lanes;MAME (Libretro);;1983;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
changela;Change Lanes;MAME (Mame4all);;1983;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
chasehq;Chase H.Q. (World);Arcade;;1988;Taito Corporation Japan;Driving / Race (chase view);;;;;0;;;;;
chasehq;Chase H.Q. (World);MAME (Advance);;1988;Taito Corporation Japan;Driving / Race (chase view);;;;;0;;;;;
chasehq;Chase H.Q. (World);MAME (Libretro);;1988;Taito Corporation Japan;Driving / Race (chase view);;;;;0;;;;;
chasehq;Chase H.Q. (World);MAME (Mame4all);;1988;Taito Corporation Japan;Driving / Race (chase view);;;;;0;;;;;
chasehqj;Chase H.Q. (Japan);Arcade;chasehq;1988;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
chasehqj;Chase H.Q. (Japan);MAME (Advance);chasehq;1988;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
chasehqj;Chase H.Q. (Japan);MAME (Libretro);chasehq;1988;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
chasehqj;Chase H.Q. (Japan);MAME (Mame4all);chasehq;1988;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
chasehqju;Chase H.Q. (Japan, upright?);Arcade;chasehq;1988;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
chasehqju;Chase H.Q. (Japan, upright?);MAME (Advance);chasehq;1988;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
chasehqju;Chase H.Q. (Japan, upright?);MAME (Libretro);chasehq;1988;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
chasehqju;Chase H.Q. (Japan, upright?);MAME (Mame4all);chasehq;1988;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
chasehqu;Chase H.Q. (US);Arcade;chasehq;1988;Taito America Corporation;Driving / Race (chase view);;;;;0;;;;;
chasehqu;Chase H.Q. (US);MAME (Advance);chasehq;1988;Taito America Corporation;Driving / Race (chase view);;;;;0;;;;;
chasehqu;Chase H.Q. (US);MAME (Libretro);chasehq;1988;Taito America Corporation;Driving / Race (chase view);;;;;0;;;;;
chasehqu;Chase H.Q. (US);MAME (Mame4all);chasehq;1988;Taito America Corporation;Driving / Race (chase view);;;;;0;;;;;
Chiki Chiki Machine Mou Race (Japan);Chiki Chiki Machine Mou Race (Japan);Nintendo Game Boy;;1992;Atlus Co.;Driving;;;;;0;;;;;
chqflag;Chequered Flag;Arcade;;1988;Konami;Driving / Race;;;;;0;;;;;
chqflag;Chequered Flag;MAME (Advance);;1988;Konami;Driving / Race;;;;;0;;;;;
chqflag;Chequered Flag;MAME (Libretro);;1988;Konami;Driving / Race;;;;;0;;;;;
chqflag;Chequered Flag;MAME (Mame4all);;1988;Konami;Driving / Race;;;;;0;;;;;
chqflagj;Chequered Flag (Japan);Arcade;chqflag;1988;Konami;Driving / Race;;;;;0;;;;;
chqflagj;Chequered Flag (Japan);MAME (Advance);chqflag;1988;Konami;Driving / Race;;;;;0;;;;;
chqflagj;Chequered Flag (Japan);MAME (Libretro);chqflag;1988;Konami;Driving / Race;;;;;0;;;;;
chqflagj;Chequered Flag (Japan);MAME (Mame4all);chqflag;1988;Konami;Driving / Race;;;;;0;;;;;
cischeat;Cisco Heat;Arcade;;1990;Jaleco;Driving / Race (chase view);;;;;0;;;;;
cischeat;Cisco Heat;Final Burn Alpha;;1990;Jaleco;Driving / Race (chase view);;;;;0;;;;;
cischeat;Cisco Heat;MAME (Advance);;1990;Jaleco;Driving / Race (chase view);;;;;0;;;;;
cischeat;Cisco Heat;MAME (Libretro);;1990;Jaleco;Driving / Race (chase view);;;;;0;;;;;
cischeat;Cisco Heat;MAME (Mame4all);;1990;Jaleco;Driving / Race (chase view);;;;;0;;;;;
