#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Stadium Mud Buggies (World);Stadium Mud Buggies (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Stampede (World);Stampede (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Star Strike (World);Star Strike (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Star Wars - The Empire Strikes Back (World);Star Wars - The Empire Strikes Back (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Sub Hunt (World);Sub Hunt (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Super Cobra (World);Super Cobra (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Super Pro Decathlon (World);Super Pro Decathlon (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Super Pro Football (World);Super Pro Football (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Swords & Serpents (World);Swords & Serpents (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
TRON - Deadly Discs (World);TRON - Deadly Discs (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
TRON - Maze-A-Tron (World);TRON - Maze-A-Tron (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
TRON - Solar Sailer (World);TRON - Solar Sailer (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Takeover (World);Takeover (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Tennis (World);Tennis (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Thunder Castle (World);Thunder Castle (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Tower of Doom (World);Tower of Doom (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Triple Action (World);Triple Action (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Triple Challenge (World);Triple Challenge (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Tropical Trouble (World);Tropical Trouble (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Truckin' (World);Truckin' (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Turbo (World);Turbo (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Tutankham (World);Tutankham (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
U.S. Ski Team Skiing (World);U.S. Ski Team Skiing (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
USCF Chess (World);USCF Chess (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Utopia (World);Utopia (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Vectron (World);Vectron (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Venture (World);Venture (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
White Water! (World);White Water! (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
World Championship Baseball (World);World Championship Baseball (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
World Cup Soccer (World);World Cup Soccer (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
World Series Major League Baseball (World);World Series Major League Baseball (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Worm Whomper (World);Worm Whomper (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
Zaxxon (World);Zaxxon (World);Mattel Intellivision;;;;;;;;;;;;;;;;;;
