cprogolf18;18 Challenge Pro Golf (DECO Cassette, Japan);MAME (Libretro);cprogolf;1982;Data East Corporation;Sports / Golf;;;;;0;;;;;
cprogolf18;18 Challenge Pro Golf (DECO Cassette, Japan);MAME (Libretro);cprogolf;1982;Data East Corporation;Sports/Golf;;;;;0;;;;;
cprogolf18;18 Challenge Pro Golf (DECO Cassette, Japan);MAME (Mame4all);cprogolf;1982;Data East Corporation;Sports / Golf;;;;;0;;;;;
cprogolf18;18 Challenge Pro Golf (DECO Cassette, Japan);MAME (Mame4all);cprogolf;1982;Data East Corporation;Sports/Golf;;;;;0;;;;;
cprogolfj;Tournament Pro Golf (DECO Cassette, Japan);Arcade;cprogolf;1981;Data East Corporation;Sports / Golf;;;;;0;;;;;
cprogolfj;Tournament Pro Golf (DECO Cassette, Japan);Arcade;cprogolf;1981;Data East Corporation;Sports/Golf;;;;;0;;;;;
cprogolfj;Tournament Pro Golf (DECO Cassette, Japan);Final Burn Alpha;cprogolf;1981;Data East Corporation;Sports/Golf;;;;;0;;;;;
cprogolfj;Tournament Pro Golf (DECO Cassette, Japan);MAME (Advance);cprogolf;1981;Data East Corporation;Sports / Golf;;;;;0;;;;;
cprogolfj;Tournament Pro Golf (DECO Cassette, Japan);MAME (Advance);cprogolf;1981;Data East Corporation;Sports/Golf;;;;;0;;;;;
cprogolfj;Tournament Pro Golf (DECO Cassette, Japan);MAME (Libretro);cprogolf;1981;Data East Corporation;Sports / Golf;;;;;0;;;;;
cprogolfj;Tournament Pro Golf (DECO Cassette, Japan);MAME (Libretro);cprogolf;1981;Data East Corporation;Sports/Golf;;;;;0;;;;;
cprogolfj;Tournament Pro Golf (DECO Cassette, Japan);MAME (Mame4all);cprogolf;1981;Data East Corporation;Sports / Golf;;;;;0;;;;;
cprogolfj;Tournament Pro Golf (DECO Cassette, Japan);MAME (Mame4all);cprogolf;1981;Data East Corporation;Sports/Golf;;;;;0;;;;;
cprogolf;Tournament Pro Golf (DECO Cassette);Arcade;;1981;Data East Corporation;Sports / Golf;;;;;0;;;;;
cprogolf;Tournament Pro Golf (DECO Cassette);Arcade;;1981;Data East Corporation;Sports/Golf;;;;;0;;;;;
cprogolf;Tournament Pro Golf (DECO Cassette);Final Burn Alpha;;1981;Data East Corporation;Sports/Golf;;;;;0;;;;;
cprogolf;Tournament Pro Golf (DECO Cassette);MAME (Advance);;1981;Data East Corporation;Sports / Golf;;;;;0;;;;;
cprogolf;Tournament Pro Golf (DECO Cassette);MAME (Advance);;1981;Data East Corporation;Sports/Golf;;;;;0;;;;;
cprogolf;Tournament Pro Golf (DECO Cassette);MAME (Libretro);;1981;Data East Corporation;Sports / Golf;;;;;0;;;;;
cprogolf;Tournament Pro Golf (DECO Cassette);MAME (Libretro);;1981;Data East Corporation;Sports/Golf;;;;;0;;;;;
cprogolf;Tournament Pro Golf (DECO Cassette);MAME (Mame4all);;1981;Data East Corporation;Sports / Golf;;;;;0;;;;;
cprogolf;Tournament Pro Golf (DECO Cassette);MAME (Mame4all);;1981;Data East Corporation;Sports/Golf;;;;;0;;;;;
Crazy Golf (Europe);Crazy Golf (Europe);Amstrad CPC;;1984;Amsoft;Sports/Golf;;;;;0;;;;;
Crazy Golf (Europe);Crazy Golf (Europe);Commodore 64;;1987;Wicked Software;Sports/Golf;;;;;0;;;;;
Crazy Golf (Europe);Crazy Golf (Europe);Sinclair ZX Spectrum;;1983;Mr. Micro;Sports/Golf;;;;;0;;;;;
crgolfa;Crowns Golf (834-5419-03);Arcade;crgolf;1984;Nasco Japan;Sports / Golf;;;;;0;;;;;
crgolfa;Crowns Golf (834-5419-03);Final Burn Alpha;crgolf;1984;Nasco Japan;Sports / Golf;;;;;0;;;;;
crgolfa;Crowns Golf (834-5419-03);MAME (Advance);crgolf;1984;Nasco Japan;Sports / Golf;;;;;0;;;;;
crgolfa;Crowns Golf (834-5419-03);MAME (Libretro);crgolf;1984;Nasco Japan;Sports / Golf;;;;;0;;;;;
crgolfa;Crowns Golf (834-5419-03);MAME (Mame4all);crgolf;1984;Nasco Japan;Sports / Golf;;;;;0;;;;;
crgolfb;Crowns Golf (set 3);Arcade;crgolf;1984;Nasco Japan;Sports / Golf;;;;;0;;;;;
