#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Super Family Gelaende (Japan);Super Family Gelaende (Japan);Nintendo Super Famicom;;1998;Namco;Sports/Skiing;;;;;0;;;;;
Super Famista (Japan);Super Famista (Japan);Nintendo Super Famicom;;1992;Namco;Sports/Baseball;;;;;0;;;;;
Super Famista 2 (Japan);Super Famista 2 (Japan);Nintendo Super Famicom;;1993;Namco;Sports/Baseball;;;;;0;;;;;
Super Famista 3 (Japan);Super Famista 3 (Japan);Nintendo Super Famicom;;1994;Namco;Sports/Baseball;;;;;0;;;;;
Super Famista 4 (Japan);Super Famista 4 (Japan);Nintendo Super Famicom;;1995;Namco;Sports/Baseball;;;;;0;;;;;
Super Famista 5 (Japan);Super Famista 5 (Japan);Nintendo Super Famicom;;1996;Namco;Sports/Baseball;;;;;0;;;;;
Super Final Match Tennis (Japan);Super Final Match Tennis (Japan);Nintendo Super Famicom;;1994;Human Entertainment;Sports/Tennis;;;;;0;;;;;
Super Fire Pro Wrestling (Japan);Super Fire Pro Wrestling (Japan);Nintendo Super Famicom;;1991;Human Club;Sports/Wrestling;;;;;0;;;;;
Super Fire Pro Wrestling - Queen's Special (Japan) (Translated En);Super Fire Pro Wrestling - Queen's Special (Japan) (Translated En);Nintendo Super Famicom;;1995;Human Club;Sports/Wrestling;;;;;0;;;;;
Super Fire Pro Wrestling 2 (Japan);Super Fire Pro Wrestling 2 (Japan);Nintendo Super Famicom;;1992;Human Club;Sports/Wrestling;;;;;0;;;;;
Super Fire Pro Wrestling III - Easy Type (Japan);Super Fire Pro Wrestling III - Easy Type (Japan);Nintendo Super Famicom;;1994;Human Club;Sports/Wrestling;;;;;0;;;;;
Super Fire Pro Wrestling III - Final Bout (Japan);Super Fire Pro Wrestling III - Final Bout (Japan);Nintendo Super Famicom;;1993;Human Club;Sports/Wrestling;;;;;0;;;;;
Super Fire Pro Wrestling Special (Japan);Super Fire Pro Wrestling Special (Japan);Nintendo Super Famicom;;1994;Human Club;Sports/Wrestling;;;;;0;;;;;
Super Fire Pro Wrestling X (Japan);Super Fire Pro Wrestling X (Japan);Nintendo Super Famicom;;1995;Human Club;Sports/Wrestling;;;;;0;;;;;
Super Fire Pro Wrestling X Premium (Japan) (Translated En);Super Fire Pro Wrestling X Premium (Japan) (Translated En);Nintendo Super Famicom;;1996;Human Club;Sports/Wrestling;;;;;0;;;;;
Super Fishing Big Fight (Japan);Super Fishing Big Fight (Japan);Nintendo Super Famicom;;1994;Geo Factory;Sports/Fishing;;;;;0;;;;;
Super Formation Soccer 94 - World Cup Edition (Japan);Super Formation Soccer 94 - World Cup Edition (Japan);Nintendo Super Famicom;;1994;Human Entertainment;Sports/Soccer;;;;;0;;;;;
Super Formation Soccer 94 - World Cup Final Data (Japan);Super Formation Soccer 94 - World Cup Final Data (Japan);Nintendo Super Famicom;;1994;Human Entertainment;Sports/Soccer;;;;;0;;;;;
Super Formation Soccer 95 della Serie A (Japan);Super Formation Soccer 95 della Serie A (Japan);Nintendo Super Famicom;;1995;Human Entertainment;Sports/Soccer;;;;;0;;;;;
Super Formation Soccer 96 - World Club Edition (Japan);Super Formation Soccer 96 - World Club Edition (Japan);Nintendo Super Famicom;;1996;Human Entertainment;Sports/Soccer;;;;;0;;;;;
Super Formation Soccer II (Japan);Super Formation Soccer II (Japan);Nintendo Super Famicom;;1993;Human Entertainment;Sports/Soccer;;;;;0;;;;;
