#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Vs. (USA);Vs. (USA);Sony PlayStation;;;;;;;;;;;;;;
Alone in the Dark - The New Nightmare (USA);Alone in the Dark - The New Nightmare (USA);Sony PlayStation;;2001;Infogrames;Horror / Shooter;1;;;;;;;;;
Alundra (USA) (v1.1);Alundra (USA) (v1.1);Sony PlayStation;;1997;Working Designs;Action / Adventure / Role-Playing;1;;;;;;;;;
Alundra 2 - A New Legend Begins (USA);Alundra 2 - A New Legend Begins (USA);Sony PlayStation;;;;;;;;;;;;;;
Amazing Virtual Sea-Monkeys, The (USA) (En,Es);Amazing Virtual Sea-Monkeys, The (USA) (En,Es);Sony PlayStation;;2002;Conspiracy Entertainment Corporation.;;;;;;;;;;;
American Pool (USA);American Pool (USA);Sony PlayStation;;2003;Mud Duck;Sports;;;;;;;;;;
Amerzone - The Explorer's Legacy (Europe);Amerzone - The Explorer's Legacy (Europe);Sony PlayStation;;;;;;;;;;;;;;
Anastasia (Europe) (En,Fr,De,Nl);Anastasia (Europe) (En,Fr,De,Nl);Sony PlayStation;;;;;;;;;;;;;;
Andretti Racing (USA);Andretti Racing (USA);Sony PlayStation;;1996;EA Sports;Racing;;;;;;;;;;
Animal Football (Europe) (En,Fr,De);Animal Football (Europe) (En,Fr,De);Sony PlayStation;;;;;;;;;;;;;;
Animal Snap - Rescue Them 2 by 2 (Europe);Animal Snap - Rescue Them 2 by 2 (Europe);Sony PlayStation;;;;;;;;;;;;;;
Animaniacs - Ten Pin Alley (USA);Animaniacs - Ten Pin Alley (USA);Sony PlayStation;;;;;;;;;;;;;;
Animorphs - Shattered Reality (USA);Animorphs - Shattered Reality (USA);Sony PlayStation;;2000;Infogrames;;1;;;;;;;;;
Anna Kournikova's Smash Court Tennis (Europe);Anna Kournikova's Smash Court Tennis (Europe);Sony PlayStation;;1999;Namco;Sports;4+;;;;;;;;;
Ape Escape (USA);Ape Escape (USA);Sony PlayStation;;1999;Sony;Platform;1;;;;;;;;;
Apocalypse (USA);Apocalypse (USA);Sony PlayStation;;1998;Activision;Action;1;;;;;;;;;
Aqua GT (Europe) (En,Fr,De,Es,It,Nl);Aqua GT (Europe) (En,Fr,De,Es,It,Nl);Sony PlayStation;;2001;Take-Two;Racing;2;;;;;;;;;
Aquanaut's Holiday (USA);Aquanaut's Holiday (USA);Sony PlayStation;;1995;Sony;;1;;;;;;;;;
Arc the Lad Collection - Arc Arena - Monster Tournament (USA);Arc the Lad Collection - Arc Arena - Monster Tournament (USA);Sony PlayStation;;;;;;;;;;;;;;
Arc the Lad Collection - Arc the Lad (USA);Arc the Lad Collection - Arc the Lad (USA);Sony PlayStation;;;;;;;;;;;;;;
Arc the Lad Collection - Arc the Lad II (USA);Arc the Lad Collection - Arc the Lad II (USA);Sony PlayStation;;;;;;;;;;;;;;
Arc the Lad Collection - Arc the Lad III (USA);Arc the Lad Collection - Arc the Lad III (USA);Sony PlayStation;;;;;;;;;;;;;;
Arcade Party Pak (USA);Arcade Party Pak (USA);Sony PlayStation;;1999;Midway;Action;3;;;;;;;;;
Arcade's Greatest Hits - The Atari Collection 1 (USA);Arcade's Greatest Hits - The Atari Collection 1 (USA);Sony PlayStation;;1996;Midway;Action;2;;;;;;;;;
Arcade's Greatest Hits - The Atari Collection 2 (USA);Arcade's Greatest Hits - The Atari Collection 2 (USA);Sony PlayStation;;1997;Midway;Action;;;;;;;;;;
Arcade's Greatest Hits - The Midway Collection 2 (USA);Arcade's Greatest Hits - The Midway Collection 2 (USA);Sony PlayStation;;1997;Midway;Action;;;;;;;;;;
