#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Castlevania 2 - Simon's Quest - Readaction;Castlevania 2 - Simon's Quest - Readaction;Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Legend of Zelda, The - Godess of Wisdom;Legend of Zelda, The - Godess of Wisdom;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Legend of Zelda, The - Paralell Worlds;Legend of Zelda, The - Paralell Worlds;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Mario Kart R;Mario Kart R;Super Nintendo Entertainment System Hacks;;2004;d4s;Racing;2;;;;;;;;;
Mario World - Starlight Remix;Mario World - Starlight Remix;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Mario's Awesome Adventure;Mario's Awesome Adventure;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Super Mario Odyssey 64 V3;Super Mario Odyssey 64 V3;Nintendo 64;;;;;;;;;;;;;;
Dragon Ball Kart 64;Dragon Ball Kart 64;Nintendo 64;;;Hack;;4;;;;;;;;;
Massimo (U);Massimo (U);Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Mushroom Kingdom Meltdown;Mushroom Kingdom Meltdown;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Mushroom Kingdom Meltdown 2;Mushroom Kingdom Meltdown 2;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
NBA Jam 2k17;NBA Jam 2k17;Super Nintendo Entertainment System Hacks;;2017;;Sports;2;;;;;;;;;
Super Mario Bros. Deluxe;Super Mario Bros. Deluxe;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Super Mario World - 3+ - The New Islands (SMW1 Hack);Super Mario World - 3+ - The New Islands (SMW1 Hack);Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Super Mario World - Deluxe;Super Mario World - Deluxe;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Super Mario World - Return to Dinosaur Land (U);Super Mario World - Return to Dinosaur Land (U);Super Nintendo Entertainment System Hacks;;2006;RAGB;Platform;2;;;;;;;;;
Super Pika Land Ultra - Chocolate Version;Super Pika Land Ultra - Chocolate Version;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
