mt_tetri;Tetris (Mega-Tech);Arcade;;1989;Sega;Puzzle;;;;;0;;;;;
mt_tetri;Tetris (Mega-Tech);Final Burn Alpha;;1989;Sega;Puzzle;;;;;0;;;;;
mt_tetri;Tetris (Mega-Tech);MAME (Advance);;1989;Sega;Puzzle;;;;;0;;;;;
mt_tetri;Tetris (Mega-Tech);MAME (Libretro);;1989;Sega;Puzzle;;;;;0;;;;;
mt_tetri;Tetris (Mega-Tech);MAME (Mame4all);;1989;Sega;Puzzle;;;;;0;;;;;
neotet;NeoGeo 2-Player Tetris [Homebrew];Final Burn Alpha;;2013;Crim/Stephen;;;;;;0;;;;;
New Tetris, The (USA);New Tetris, The (USA);Nintendo 64;;1999;Nintendo;Puzzle;;;;;0;;;;;
Next Tetris - On-line Edition, The (USA);Next Tetris - On-line Edition, The (USA);Sega Dreamcast;;2000;Crave;Puzzle;;;;;0;;;;;
Next Tetris, The (USA);Next Tetris, The (USA);Sony PlayStation;;1999;Atari;Puzzle;;;;;0;;;;;
Next Tetris, The (USA);Next Tetris, The (USA);Sony PSP;;1999;Atari;Puzzle;;;;;0;;;;;
phtetris;Tetris (Photon System);Arcade;;19??;"&lt;unknown&gt;";Puzzle / Drop;;;;;0;;;;;
phtetris;Tetris (Photon System);Final Burn Alpha;;19??;"&lt;unknown&gt;";Puzzle / Drop;;;;;0;;;;;
phtetris;Tetris (Photon System);MAME (Advance);;19??;"&lt;unknown&gt;";Puzzle / Drop;;;;;0;;;;;
phtetris;Tetris (Photon System);MAME (Libretro);;19??;"&lt;unknown&gt;";Puzzle / Drop;;;;;0;;;;;
phtetris;Tetris (Photon System);MAME (Mame4all);;19??;"&lt;unknown&gt;";Puzzle / Drop;;;;;0;;;;;
pktet346;PK Tetris (v346I);Arcade;;1993?;IGS;Casino;;;;;0;;;;;
pktet346;PK Tetris (v346I);Final Burn Alpha;;1993?;IGS;Casino;;;;;0;;;;;
pktet346;PK Tetris (v346I);MAME (Advance);;1993?;IGS;Casino;;;;;0;;;;;
pktet346;PK Tetris (v346I);MAME (Libretro);;1993?;IGS;Casino;;;;;0;;;;;
pktet346;PK Tetris (v346I);MAME (Mame4all);;1993?;IGS;Casino;;;;;0;;;;;
Sega Tetris (Japan);Sega Tetris (Japan);Sega Dreamcast;;2000;Sega;Puzzle;;;;;0;;;;;
Super Tetris 2 + Bombliss (Japan);Super Tetris 2 + Bombliss (Japan);Nintendo Super Famicom;;1992;TOSE;Compilation;;;;;0;;;;;
Super Tetris 3 (Japan);Super Tetris 3 (Japan);Nintendo Super Famicom;;1994;TOSE;Puzzle;;;;;0;;;;;
Super Tetris (Europe);Super Tetris (Europe);Amstrad CPC;;1997;Frequency;Puzzle;;;;;0;;;;;
SuperTetris_v1.0_2646;Super Tetris;Commodore Amiga;;;;;;;;;0;;;;;
Team Tetris (Europe);Team Tetris (Europe);Commodore 64;;1991;UKY Company;Puzzle;;;;;0;;;;;
tetrbx;Tetris / Bloxeed (Korean System 16 bootleg) (ISG Selection Master Type 2006);Arcade;;2006;bootleg (ISG);Puzzle / Drop;;;;;0;;;;;
tetrbx;Tetris / Bloxeed (Korean System 16 bootleg) (ISG Selection Master Type 2006);Final Burn Alpha;;2006;bootleg (ISG);Puzzle / Drop;;;;;0;;;;;
tetrbx;Tetris / Bloxeed (Korean System 16 bootleg) (ISG Selection Master Type 2006);Final Burn Alpha;;2006;ISG;;;;;;0;;;;;
tetrbx;Tetris / Bloxeed (Korean System 16 bootleg) (ISG Selection Master Type 2006);MAME (Advance);;2006;bootleg (ISG);Puzzle / Drop;;;;;0;;;;;
tetrbx;Tetris / Bloxeed (Korean System 16 bootleg) (ISG Selection Master Type 2006);MAME (Libretro);;2006;bootleg (ISG);Puzzle / Drop;;;;;0;;;;;
