Bishoujo Senshi Sailor Moon - Another Story (Japan) (Translated En);Bishoujo Senshi Sailor Moon - Another Story (Japan) (Translated En);Nintendo Super Famicom;;1995;Angel (Bandai);Role-Playing;;;;;0;;;;;
sailormnoh;Pretty Soldier Sailor Moon (Ver. 95/03/22, Hong Kong);Final Burn Alpha;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnoh;Pretty Soldier Sailor Moon (ver. 95/03/22, Hong Kong);MAME (Advance);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnoh;Pretty Soldier Sailor Moon (Ver. 95/03/22, Hong Kong);MAME (Advance);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnoh;Pretty Soldier Sailor Moon (ver. 95/03/22, Hong Kong);MAME (Libretro);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnoh;Pretty Soldier Sailor Moon (Ver. 95/03/22, Hong Kong);MAME (Libretro);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnoh;Pretty Soldier Sailor Moon (ver. 95/03/22, Hong Kong);MAME (Mame4all);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnoh;Pretty Soldier Sailor Moon (Ver. 95/03/22, Hong Kong);MAME (Mame4all);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnoj;Pretty Soldier Sailor Moon (ver. 95/03/22, Japan);Arcade;sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnoj;Pretty Soldier Sailor Moon (Ver. 95/03/22, Japan);Arcade;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnoj;Pretty Soldier Sailor Moon (ver. 95/03/22, Japan);Final Burn Alpha;sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
