atla_ltd;Atlantis (LTD);MAME (Libretro);;1981;LTD;Electromechanical / Pinball;;;;;0;;;;;
atla_ltd;Atlantis (LTD);MAME (Mame4all);;1981;LTD;Electromechanical / Pinball;;;;;0;;;;;
atleta;Atleta;Arcade;;1991;Inder;Electromechanical / Pinball;;;;;0;;;;;
atleta;Atleta;MAME (Advance);;1991;Inder;Electromechanical / Pinball;;;;;0;;;;;
atleta;Atleta;MAME (Libretro);;1991;Inder;Electromechanical / Pinball;;;;;0;;;;;
atleta;Atleta;MAME (Mame4all);;1991;Inder;Electromechanical / Pinball;;;;;0;;;;;
attila;Attila The Hun;Arcade;;1984;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
attila;Attila The Hun;MAME (Advance);;1984;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
attila;Attila The Hun;MAME (Libretro);;1984;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
attila;Attila The Hun;MAME (Mame4all);;1984;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
Austin Powers Pinball (USA);Austin Powers Pinball (USA);Sony PlayStation;;2002;Gotham Games;Pinball;;;;;0;;;;;
Austin Powers Pinball (USA);Austin Powers Pinball (USA);Sony PSP;;2002;Gotham Games;Pinball;;;;;0;;;;;
Battle Pinball (Japan);Battle Pinball (Japan);Nintendo Super Famicom;;1995;Banpresto;Pinball;;;;;0;;;;;
bhol_ltd;Black Hole (LTD);Arcade;;1981;LTD;Electromechanical / Pinball;;;;;0;;;;;
bhol_ltd;Black Hole (LTD);MAME (Advance);;1981;LTD;Electromechanical / Pinball;;;;;0;;;;;
bhol_ltd;Black Hole (LTD);MAME (Libretro);;1981;LTD;Electromechanical / Pinball;;;;;0;;;;;
bhol_ltd;Black Hole (LTD);MAME (Mame4all);;1981;LTD;Electromechanical / Pinball;;;;;0;;;;;
bk_f4;Black Knight (L-4, French speech);Arcade;bk_l4;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
bk_f4;Black Knight (L-4, French speech);MAME (Advance);bk_l4;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
bk_f4;Black Knight (L-4, French speech);MAME (Libretro);bk_l4;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
bk_f4;Black Knight (L-4, French speech);MAME (Mame4all);bk_l4;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
bk_l3;Black Knight (L-3);Arcade;bk_l4;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
bk_l3;Black Knight (L-3);MAME (Advance);bk_l4;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
bk_l3;Black Knight (L-3);MAME (Libretro);bk_l4;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
bk_l3;Black Knight (L-3);MAME (Mame4all);bk_l4;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
bk_l4;Black Knight (L-4);Arcade;;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
bk_l4;Black Knight (L-4);MAME (Advance);;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
bk_l4;Black Knight (L-4);MAME (Libretro);;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
bk_l4;Black Knight (L-4);MAME (Mame4all);;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
blackjck;Black Jack (Pinball);Arcade;;1978;Bally;Electromechanical / Pinball;;;;;0;;;;;
blackjck;Black Jack (Pinball);MAME (Advance);;1978;Bally;Electromechanical / Pinball;;;;;0;;;;;
blackjck;Black Jack (Pinball);MAME (Libretro);;1978;Bally;Electromechanical / Pinball;;;;;0;;;;;
blackjck;Black Jack (Pinball);MAME (Mame4all);;1978;Bally;Electromechanical / Pinball;;;;;0;;;;;
blkou_f1;Blackout (L-1, French Speech);Arcade;blkou_l1;1979;Williams;Electromechanical / Pinball;;;;;0;;;;;
blkou_f1;Blackout (L-1, French Speech);MAME (Advance);blkou_l1;1979;Williams;Electromechanical / Pinball;;;;;0;;;;;
blkou_f1;Blackout (L-1, French Speech);MAME (Libretro);blkou_l1;1979;Williams;Electromechanical / Pinball;;;;;0;;;;;
blkou_f1;Blackout (L-1, French Speech);MAME (Mame4all);blkou_l1;1979;Williams;Electromechanical / Pinball;;;;;0;;;;;
blkou_l1;Blackout (L-1);Arcade;;1979;Williams;Electromechanical / Pinball;;;;;0;;;;;
blkou_l1;Blackout (L-1);MAME (Advance);;1979;Williams;Electromechanical / Pinball;;;;;0;;;;;
blkou_l1;Blackout (L-1);MAME (Libretro);;1979;Williams;Electromechanical / Pinball;;;;;0;;;;;
blkou_l1;Blackout (L-1);MAME (Mame4all);;1979;Williams;Electromechanical / Pinball;;;;;0;;;;;
blkou_t1;Blackout (T-1);Arcade;blkou_l1;1979;Williams;Electromechanical / Pinball;;;;;0;;;;;
blkou_t1;Blackout (T-1);MAME (Advance);blkou_l1;1979;Williams;Electromechanical / Pinball;;;;;0;;;;;
blkou_t1;Blackout (T-1);MAME (Libretro);blkou_l1;1979;Williams;Electromechanical / Pinball;;;;;0;;;;;
blkou_t1;Blackout (T-1);MAME (Mame4all);blkou_l1;1979;Williams;Electromechanical / Pinball;;;;;0;;;;;
blvelvet;Black Velvet;Arcade;;1978;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
blvelvet;Black Velvet;MAME (Advance);;1978;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
blvelvet;Black Velvet;MAME (Libretro);;1978;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
blvelvet;Black Velvet;MAME (Mame4all);;1978;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
brvteam;Brave Team;Arcade;;1985;Inder;Electromechanical / Pinball;;;;;0;;;;;
brvteam;Brave Team;MAME (Advance);;1985;Inder;Electromechanical / Pinball;;;;;0;;;;;
brvteam;Brave Team;MAME (Libretro);;1985;Inder;Electromechanical / Pinball;;;;;0;;;;;
brvteam;Brave Team;MAME (Mame4all);;1985;Inder;Electromechanical / Pinball;;;;;0;;;;;
Bumper Bash (USA);Bumper Bash (USA);Atari 2600;;1983;Spectravideo;Pinball;;;;;0;;;;;
camlight;Camel Lights;Arcade;;1978;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
camlight;Camel Lights;MAME (Advance);;1978;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
camlight;Camel Lights;MAME (Libretro);;1978;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
camlight;Camel Lights;MAME (Mame4all);;1978;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
canasta;Canasta '86';Arcade;;1986;Inder;Electromechanical / Pinball;;;;;0;;;;;
