invaders;Space Invaders / Space Invaders M;MAME (Advance);;1978;Taito / Midway;Shooter / Gallery;;;;;0;;;;;
invaders;Space Invaders / Space Invaders M;MAME (Libretro);;1978;Taito / Midway;Shooter / Gallery;;;;;0;;;;;
invaders;Space Invaders / Space Invaders M;MAME (Mame4all);;1978;Taito / Midway;Shooter / Gallery;;;;;0;;;;;
invadersem;Space Invaders (Electromar, Spanish);Arcade;invaders;19??;Electromar;Shooter / Gallery;;;;;0;;;;;
invadersem;Space Invaders (Electromar, Spanish);MAME (Advance);invaders;19??;Electromar;Shooter / Gallery;;;;;0;;;;;
invadersem;Space Invaders (Electromar, Spanish);MAME (Libretro);invaders;19??;Electromar;Shooter / Gallery;;;;;0;;;;;
invadersem;Space Invaders (Electromar, Spanish);MAME (Mame4all);invaders;19??;Electromar;Shooter / Gallery;;;;;0;;;;;
invadpt2;Space Invaders Part II (Taito);Arcade;;1979;Taito;Shooter / Gallery;;;;;0;;;;;
invadpt2;Space Invaders Part II (Taito);MAME (Advance);;1979;Taito;Shooter / Gallery;;;;;0;;;;;
invadpt2;Space Invaders Part II (Taito);MAME (Libretro);;1979;Taito;Shooter / Gallery;;;;;0;;;;;
invadpt2;Space Invaders Part II (Taito);MAME (Mame4all);;1979;Taito;Shooter / Gallery;;;;;0;;;;;
invadpt2br;Space Invaders Part II (Brazil);Arcade;invadpt2;1979;Taito do Brasil;Shooter / Gallery;;;;;0;;;;;
invadpt2br;Space Invaders Part II (Brazil);MAME (Advance);invadpt2;1979;Taito do Brasil;Shooter / Gallery;;;;;0;;;;;
invadpt2br;Space Invaders Part II (Brazil);MAME (Libretro);invadpt2;1979;Taito do Brasil;Shooter / Gallery;;;;;0;;;;;
invadpt2br;Space Invaders Part II (Brazil);MAME (Mame4all);invadpt2;1979;Taito do Brasil;Shooter / Gallery;;;;;0;;;;;
invadrmr;Space Invaders (Model Racing);Arcade;invaders;1978;Taito / Model Racing;Shooter / Gallery;;;;;0;;;;;
invadrmr;Space Invaders (Model Racing);MAME (Advance);invaders;1978;Taito / Model Racing;Shooter / Gallery;;;;;0;;;;;
invadrmr;Space Invaders (Model Racing);MAME (Libretro);invaders;1978;Taito / Model Racing;Shooter / Gallery;;;;;0;;;;;
invadrmr;Space Invaders (Model Racing);MAME (Mame4all);invaders;1978;Taito / Model Racing;Shooter / Gallery;;;;;0;;;;;
invmulti;Space Invaders Multigame (M8.03D);Arcade;;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmulti;Space Invaders Multigame (M8.03D);MAME (Advance);;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmulti;Space Invaders Multigame (M8.03D);MAME (Libretro);;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmulti;Space Invaders Multigame (M8.03D);MAME (Mame4all);;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultim1a;Space Invaders Multigame (M8.01A);Arcade;invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultim1a;Space Invaders Multigame (M8.01A);MAME (Advance);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultim1a;Space Invaders Multigame (M8.01A);MAME (Libretro);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultim1a;Space Invaders Multigame (M8.01A);MAME (Mame4all);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultim2a;Space Invaders Multigame (M8.02A);Arcade;invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultim2a;Space Invaders Multigame (M8.02A);MAME (Advance);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultim2a;Space Invaders Multigame (M8.02A);MAME (Libretro);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultim2a;Space Invaders Multigame (M8.02A);MAME (Mame4all);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultim2c;Space Invaders Multigame (M8.02C);Arcade;invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultim2c;Space Invaders Multigame (M8.02C);MAME (Advance);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultim2c;Space Invaders Multigame (M8.02C);MAME (Libretro);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultim2c;Space Invaders Multigame (M8.02C);MAME (Mame4all);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultim3a;Space Invaders Multigame (M8.03A);Arcade;invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultim3a;Space Invaders Multigame (M8.03A);MAME (Advance);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultim3a;Space Invaders Multigame (M8.03A);MAME (Libretro);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultim3a;Space Invaders Multigame (M8.03A);MAME (Mame4all);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultip;Space Invaders Multigame (prototype);Arcade;invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultip;Space Invaders Multigame (prototype);MAME (Advance);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultip;Space Invaders Multigame (prototype);MAME (Libretro);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultip;Space Invaders Multigame (prototype);MAME (Mame4all);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultis1a;Space Invaders Multigame (S0.81A);Arcade;invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultis1a;Space Invaders Multigame (S0.81A);MAME (Advance);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultis1a;Space Invaders Multigame (S0.81A);MAME (Libretro);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultis1a;Space Invaders Multigame (S0.81A);MAME (Mame4all);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultis2a;Space Invaders Multigame (S0.82A);Arcade;invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultis2a;Space Invaders Multigame (S0.82A);MAME (Advance);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultis2a;Space Invaders Multigame (S0.82A);MAME (Libretro);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultis2a;Space Invaders Multigame (S0.82A);MAME (Mame4all);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultis3a;Space Invaders Multigame (S0.83A);Arcade;invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultis3a;Space Invaders Multigame (S0.83A);MAME (Advance);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultis3a;Space Invaders Multigame (S0.83A);MAME (Libretro);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultis3a;Space Invaders Multigame (S0.83A);MAME (Mame4all);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultit3d;Space Invaders Multigame (T8.03D);Arcade;invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultit3d;Space Invaders Multigame (T8.03D);MAME (Advance);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultit3d;Space Invaders Multigame (T8.03D);MAME (Libretro);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invmultit3d;Space Invaders Multigame (T8.03D);MAME (Mame4all);invmulti;2002;hack (Braze Technologies);Multiplay / Compilation;;;;;0;;;;;
invqix;Space Invaders / Qix Silver Anniversary Edition (Ver. 2.03);Arcade;;2003;Taito / Namco;Multiplay / Compilation;;;;;0;;;;;
invqix;Space Invaders / Qix Silver Anniversary Edition (Ver. 2.03);MAME (Advance);;2003;Taito / Namco;Multiplay / Compilation;;;;;0;;;;;
invqix;Space Invaders / Qix Silver Anniversary Edition (Ver. 2.03);MAME (Libretro);;2003;Taito / Namco;Multiplay / Compilation;;;;;0;;;;;
invqix;Space Invaders / Qix Silver Anniversary Edition (Ver. 2.03);MAME (Mame4all);;2003;Taito / Namco;Multiplay / Compilation;;;;;0;;;;;
sicv;Space Invaders (CV Version);Arcade;invaders;1979;Taito;Shooter / Gallery;;;;;0;;;;;
sicv;Space Invaders (CV Version);MAME (Advance);invaders;1979;Taito;Shooter / Gallery;;;;;0;;;;;
sicv;Space Invaders (CV Version);MAME (Libretro);invaders;1979;Taito;Shooter / Gallery;;;;;0;;;;;
sicv;Space Invaders (CV Version);MAME (Mame4all);invaders;1979;Taito;Shooter / Gallery;;;;;0;;;;;
sinv90;Space Invaders 90 (Jpn);Final Burn Alpha;sinv91;1990;Taito;;;;;;0;;;;;
sinv91;Space Invaders 91 (USA);Final Burn Alpha;;1991;Taito;;;;;;0;;;;;
sisv2;Space Invaders (SV Version rev 2);Arcade;invaders;1978;Taito;Shooter / Gallery;;;;;0;;;;;
sisv2;Space Invaders (SV Version rev 2);MAME (Advance);invaders;1978;Taito;Shooter / Gallery;;;;;0;;;;;
sisv2;Space Invaders (SV Version rev 2);MAME (Libretro);invaders;1978;Taito;Shooter / Gallery;;;;;0;;;;;
sisv2;Space Invaders (SV Version rev 2);MAME (Mame4all);invaders;1978;Taito;Shooter / Gallery;;;;;0;;;;;
sisv3;Space Invaders (SV Version rev 3);Arcade;invaders;1978;Taito;Shooter / Gallery;;;;;0;;;;;
sisv3;Space Invaders (SV Version rev 3);MAME (Advance);invaders;1978;Taito;Shooter / Gallery;;;;;0;;;;;
sisv3;Space Invaders (SV Version rev 3);MAME (Libretro);invaders;1978;Taito;Shooter / Gallery;;;;;0;;;;;
sisv3;Space Invaders (SV Version rev 3);MAME (Mame4all);invaders;1978;Taito;Shooter / Gallery;;;;;0;;;;;
sisv;Space Invaders (SV Version rev 4);Arcade;invaders;1978;Taito;Shooter / Gallery;;;;;0;;;;;
sisv;Space Invaders (SV Version rev 4);MAME (Advance);invaders;1978;Taito;Shooter / Gallery;;;;;0;;;;;
sisv;Space Invaders (SV Version rev 4);MAME (Libretro);invaders;1978;Taito;Shooter / Gallery;;;;;0;;;;;
sisv;Space Invaders (SV Version rev 4);MAME (Mame4all);invaders;1978;Taito;Shooter / Gallery;;;;;0;;;;;
sitv1;Space Invaders (TV Version rev 1);Arcade;invaders;1978;Taito;Shooter / Gallery;;;;;0;;;;;
sitv1;Space Invaders (TV Version rev 1);MAME (Advance);invaders;1978;Taito;Shooter / Gallery;;;;;0;;;;;
sitv1;Space Invaders (TV Version rev 1);MAME (Libretro);invaders;1978;Taito;Shooter / Gallery;;;;;0;;;;;
sitv1;Space Invaders (TV Version rev 1);MAME (Mame4all);invaders;1978;Taito;Shooter / Gallery;;;;;0;;;;;
sitv;Space Invaders (TV Version rev 2);Arcade;invaders;1978;Taito;Shooter / Gallery;;;;;0;;;;;
sitv;Space Invaders (TV Version rev 2);MAME (Advance);invaders;1978;Taito;Shooter / Gallery;;;;;0;;;;;
sitv;Space Invaders (TV Version rev 2);MAME (Libretro);invaders;1978;Taito;Shooter / Gallery;;;;;0;;;;;
sitv;Space Invaders (TV Version rev 2);MAME (Mame4all);invaders;1978;Taito;Shooter / Gallery;;;;;0;;;;;
spaceat2;Space Attack II (bootleg of Super Invaders);Arcade;invaders;1980;bootleg (Video Games UK);Shooter / Gallery;;;;;0;;;;;
spaceat2;Space Attack II (bootleg of Super Invaders);MAME (Advance);invaders;1980;bootleg (Video Games UK);Shooter / Gallery;;;;;0;;;;;
spaceat2;Space Attack II (bootleg of Super Invaders);MAME (Libretro);invaders;1980;bootleg (Video Games UK);Shooter / Gallery;;;;;0;;;;;
spaceat2;Space Attack II (bootleg of Super Invaders);MAME (Mame4all);invaders;1980;bootleg (Video Games UK);Shooter / Gallery;;;;;0;;;;;
spaceatt;Space Attack (bootleg of Space Invaders);Arcade;invaders;1978;bootleg (Video Games GmbH);Shooter / Gallery;;;;;0;;;;;
