Chris Kamara's Street Soccer (Europe);Chris Kamara's Street Soccer (Europe);Sony PSP;;2000;Midas Interactive Entertainment;Sports/Soccer;;;;;0;;;;;
cpsoccerj;Pro Soccer (DECO Cassette, Japan);Arcade;cpsoccer;1983;Data East Corporation;Sports / Soccer;;;;;0;;;;;
cpsoccerj;Pro Soccer (DECO Cassette, Japan);Arcade;cpsoccer;1983;Data East Corporation;Sports/Soccer;;;;;0;;;;;
cpsoccerj;Pro Soccer (DECO Cassette, Japan);Final Burn Alpha;cpsoccer;1983;Data East Corporation;Sports/Soccer;;;;;0;;;;;
cpsoccerj;Pro Soccer (DECO Cassette, Japan);MAME (Advance);cpsoccer;1983;Data East Corporation;Sports / Soccer;;;;;0;;;;;
cpsoccerj;Pro Soccer (DECO Cassette, Japan);MAME (Advance);cpsoccer;1983;Data East Corporation;Sports/Soccer;;;;;0;;;;;
cpsoccerj;Pro Soccer (DECO Cassette, Japan);MAME (Libretro);cpsoccer;1983;Data East Corporation;Sports / Soccer;;;;;0;;;;;
cpsoccerj;Pro Soccer (DECO Cassette, Japan);MAME (Libretro);cpsoccer;1983;Data East Corporation;Sports/Soccer;;;;;0;;;;;
cpsoccerj;Pro Soccer (DECO Cassette, Japan);MAME (Mame4all);cpsoccer;1983;Data East Corporation;Sports / Soccer;;;;;0;;;;;
cpsoccerj;Pro Soccer (DECO Cassette, Japan);MAME (Mame4all);cpsoccer;1983;Data East Corporation;Sports/Soccer;;;;;0;;;;;
cpsoccer;Pro Soccer (DECO Cassette);Arcade;;1983;Data East Corporation;Sports / Soccer;;;;;0;;;;;
cpsoccer;Pro Soccer (DECO Cassette);Arcade;;1983;Data East Corporation;Sports/Soccer;;;;;0;;;;;
cpsoccer;Pro Soccer (DECO Cassette);Final Burn Alpha;;1983;Data East Corporation;Sports/Soccer;;;;;0;;;;;
cpsoccer;Pro Soccer (DECO Cassette);MAME (Advance);;1983;Data East Corporation;Sports / Soccer;;;;;0;;;;;
cpsoccer;Pro Soccer (DECO Cassette);MAME (Advance);;1983;Data East Corporation;Sports/Soccer;;;;;0;;;;;
cpsoccer;Pro Soccer (DECO Cassette);MAME (Libretro);;1983;Data East Corporation;Sports / Soccer;;;;;0;;;;;
cpsoccer;Pro Soccer (DECO Cassette);MAME (Libretro);;1983;Data East Corporation;Sports/Soccer;;;;;0;;;;;
cpsoccer;Pro Soccer (DECO Cassette);MAME (Mame4all);;1983;Data East Corporation;Sports / Soccer;;;;;0;;;;;
