Spider-Man and the X-Men - Arcade's Revenge (USA);Spider-Man and the X-Men - Arcade's Revenge (USA);Super Nintendo Entertainment System;;1992;LJN;Platform;;;;;0;;;;;
X-Men vs. Street Fighter (USA);X-Men vs. Street Fighter (USA);Sony PSP;;1998;Capcom;Fighter;;;;;0;;;;;
X-Men - Wolverine's Rage (USA);X-Men - Wolverine's Rage (USA);Nintendo Game Boy Color;;2001;Activision;Platform;;;;;0;;;;;
xmen;X-Men (4 Players ver UBB);Arcade;;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmen;X-Men (4 Players ver UBB);Final Burn Alpha;;1992;Konami;;;;;;0;;;;;
xmen;X-Men (4 Players ver UBB);MAME (Advance);;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmen;X-Men (4 Players ver UBB);MAME (Libretro);;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmen;X-Men (4 Players ver UBB);MAME (Mame4all);;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
xmvsfar1;X-Men vs Street Fighter (961004 Asia);Final Burn Alpha;xmvsf;1996;Capcom;;;;;;0;;;;;
xmvsfar1;X-Men Vs. Street Fighter (Asia 961004);Arcade;xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfar1;X-Men Vs. Street Fighter (Asia 961004);MAME (Advance);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfar1;X-Men Vs. Street Fighter (Asia 961004);MAME (Libretro);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfar1;X-Men Vs. Street Fighter (Asia 961004);MAME (Mame4all);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfar2;X-Men vs Street Fighter (960919 Asia);Final Burn Alpha;xmvsf;1996;Capcom;;;;;;0;;;;;
xmvsfar2;X-Men Vs. Street Fighter (Asia 960919);Arcade;xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfar2;X-Men Vs. Street Fighter (Asia 960919);MAME (Advance);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfar2;X-Men Vs. Street Fighter (Asia 960919);MAME (Libretro);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfar2;X-Men Vs. Street Fighter (Asia 960919);MAME (Mame4all);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfar3;X-Men vs Street Fighter (960910 Asia);Final Burn Alpha;xmvsf;1996;Capcom;;;;;;0;;;;;
xmvsfar3;X-Men Vs. Street Fighter (Asia 960910);Arcade;xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfar3;X-Men Vs. Street Fighter (Asia 960910);MAME (Advance);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfar3;X-Men Vs. Street Fighter (Asia 960910);MAME (Libretro);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfar3;X-Men Vs. Street Fighter (Asia 960910);MAME (Mame4all);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfa;X-Men vs Street Fighter (961023 Asia);Final Burn Alpha;xmvsf;1996;Capcom;;;;;;0;;;;;
xmvsfa;X-Men Vs. Street Fighter (Asia 961023);Arcade;xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfa;X-Men Vs. Street Fighter (Asia 961023);MAME (Advance);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfa;X-Men Vs. Street Fighter (Asia 961023);MAME (Libretro);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfa;X-Men Vs. Street Fighter (Asia 961023);MAME (Mame4all);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfb;X-Men vs Street Fighter (961023 Brazil);Final Burn Alpha;xmvsf;1996;Capcom;;;;;;0;;;;;
xmvsfb;X-Men Vs. Street Fighter (Brazil 961023);Arcade;xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfb;X-Men Vs. Street Fighter (Brazil 961023);MAME (Advance);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfb;X-Men Vs. Street Fighter (Brazil 961023);MAME (Libretro);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfb;X-Men Vs. Street Fighter (Brazil 961023);MAME (Mame4all);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfh;X-Men vs Street Fighter (961004 Hispanic);Final Burn Alpha;xmvsf;1996;Capcom;;;;;;0;;;;;
xmvsfh;X-Men Vs. Street Fighter (Hispanic 961004);Arcade;xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfh;X-Men Vs. Street Fighter (Hispanic 961004);MAME (Advance);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfh;X-Men Vs. Street Fighter (Hispanic 961004);MAME (Libretro);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfh;X-Men Vs. Street Fighter (Hispanic 961004);MAME (Mame4all);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfjr1;X-Men vs Street Fighter (960910 Japan);Final Burn Alpha;xmvsf;1996;Capcom;;;;;;0;;;;;
xmvsfjr1;X-Men Vs. Street Fighter (Japan 960910);Arcade;xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfjr1;X-Men Vs. Street Fighter (Japan 960910);MAME (Advance);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfjr1;X-Men Vs. Street Fighter (Japan 960910);MAME (Libretro);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfjr1;X-Men Vs. Street Fighter (Japan 960910);MAME (Mame4all);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfjr2;X-Men vs Street Fighter (960909 Japan);Final Burn Alpha;xmvsf;1996;Capcom;;;;;;0;;;;;
xmvsfjr2;X-Men Vs. Street Fighter (Japan 960909);Arcade;xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfjr2;X-Men Vs. Street Fighter (Japan 960909);MAME (Advance);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
xmvsfjr2;X-Men Vs. Street Fighter (Japan 960909);MAME (Libretro);xmvsf;1996;Capcom;Fighter / Versus;;;;;0;;;;;
