samsh5sph;Samurai Shodown V Special / Samurai Spirits Zero Special (NGH-2720) (2nd release, less censored);Final Burn Alpha;samsh5sp;2004;Yuki Enterprise / SNK Playmore;;;;;;0;;;;;
samsh5sph;Samurai Shodown V Special / Samurai Spirits Zero Special (NGH-2720) (2nd release, less censored);MAME (Advance);samsh5sp;2004;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsh5sph;Samurai Shodown V Special / Samurai Spirits Zero Special (NGH-2720) (2nd release, less censored);MAME (Libretro);samsh5sp;2004;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsh5sph;Samurai Shodown V Special / Samurai Spirits Zero Special (NGH-2720) (2nd release, less censored);MAME (Mame4all);samsh5sp;2004;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsh5spho;Samurai Shodown V Special / Samurai Spirits Zero Special (NGH-2720) (1st release, censored);Arcade;samsh5sp;2004;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsh5spho;Samurai Shodown V Special / Samurai Spirits Zero Special (NGH-2720) (1st release, censored);Final Burn Alpha;samsh5sp;2004;Yuki Enterprise / SNK Playmore;;;;;;0;;;;;
samsh5spho;Samurai Shodown V Special / Samurai Spirits Zero Special (NGH-2720) (1st release, censored);MAME (Advance);samsh5sp;2004;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsh5spho;Samurai Shodown V Special / Samurai Spirits Zero Special (NGH-2720) (1st release, censored);MAME (Libretro);samsh5sp;2004;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsh5spho;Samurai Shodown V Special / Samurai Spirits Zero Special (NGH-2720) (1st release, censored);MAME (Mame4all);samsh5sp;2004;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsho2;Samurai Shodown II / Shin Samurai Spirits - Haohmaru jigokuhen (NGM-063)(NGH-063);Arcade;;1994;SNK;Fighter / Versus;;;;;0;;;;;
samsho2;Samurai Shodown II / Shin Samurai Spirits - Haohmaru jigokuhen (NGM-063)(NGH-063);Final Burn Alpha;;1994;SNK;;;;;;0;;;;;
samsho2;Samurai Shodown II / Shin Samurai Spirits - Haohmaru jigokuhen (NGM-063)(NGH-063);MAME (Advance);;1994;SNK;Fighter / Versus;;;;;0;;;;;
samsho2;Samurai Shodown II / Shin Samurai Spirits - Haohmaru jigokuhen (NGM-063)(NGH-063);MAME (Libretro);;1994;SNK;Fighter / Versus;;;;;0;;;;;
samsho2;Samurai Shodown II / Shin Samurai Spirits - Haohmaru jigokuhen (NGM-063)(NGH-063);MAME (Mame4all);;1994;SNK;Fighter / Versus;;;;;0;;;;;
samsho2;Samurai Showdown 2;SNK Neo Geo AES;;1994;SNK;Action/Fighting;;;;;0;;;;;
samsho2k2;Saulabi Spirits / Jin Saulabi Tu Hon (Korean release of Samurai Shodown II, set 2);Final Burn Alpha;samsho2;1994;SNK;;;;;;0;;;;;
samsho2k;Saulabi Spirits / Jin Saulabi Tu Hon (Korean release of Samurai Shodown II);Arcade;samsho2;1994;SNK;Fighter / Versus;;;;;0;;;;;
samsho2k;Saulabi Spirits / Jin Saulabi Tu Hon (Korean release of Samurai Shodown II);Final Burn Alpha;samsho2;1994;SNK;;;;;;0;;;;;
samsho2k;Saulabi Spirits / Jin Saulabi Tu Hon (Korean release of Samurai Shodown II);MAME (Advance);samsho2;1994;SNK;Fighter / Versus;;;;;0;;;;;
samsho2k;Saulabi Spirits / Jin Saulabi Tu Hon (Korean release of Samurai Shodown II);MAME (Libretro);samsho2;1994;SNK;Fighter / Versus;;;;;0;;;;;
samsho2k;Saulabi Spirits / Jin Saulabi Tu Hon (Korean release of Samurai Shodown II);MAME (Mame4all);samsho2;1994;SNK;Fighter / Versus;;;;;0;;;;;
samsho3;Samurai Shodown III / Samurai Spirits - Zankurou Musouken (NGM-087);Arcade;;1995;SNK;Fighter / Versus;;;;;0;;;;;
samsho3;Samurai Shodown III / Samurai Spirits - Zankurou Musouken (NGM-087);Final Burn Alpha;;1995;SNK;;;;;;0;;;;;
samsho3;Samurai Shodown III / Samurai Spirits - Zankurou Musouken (NGM-087);MAME (Advance);;1995;SNK;Fighter / Versus;;;;;0;;;;;
samsho3;Samurai Shodown III / Samurai Spirits - Zankurou Musouken (NGM-087);MAME (Libretro);;1995;SNK;Fighter / Versus;;;;;0;;;;;
samsho3;Samurai Shodown III / Samurai Spirits - Zankurou Musouken (NGM-087);MAME (Mame4all);;1995;SNK;Fighter / Versus;;;;;0;;;;;
samsho3;Samurai Showdown 3 Blades of Blood;SNK Neo Geo AES;;1995;SNK;Action/Fighting;;;;;0;;;;;
samsho3h;Samurai Shodown III / Samurai Spirits - Zankurou Musouken (NGH-087);Arcade;samsho3;1995;SNK;Fighter / Versus;;;;;0;;;;;
samsho3h;Samurai Shodown III / Samurai Spirits - Zankurou Musouken (NGH-087);Final Burn Alpha;samsho3;1995;SNK;;;;;;0;;;;;
samsho3h;Samurai Shodown III / Samurai Spirits - Zankurou Musouken (NGH-087);MAME (Advance);samsho3;1995;SNK;Fighter / Versus;;;;;0;;;;;
samsho3h;Samurai Shodown III / Samurai Spirits - Zankurou Musouken (NGH-087);MAME (Libretro);samsho3;1995;SNK;Fighter / Versus;;;;;0;;;;;
samsho3h;Samurai Shodown III / Samurai Spirits - Zankurou Musouken (NGH-087);MAME (Mame4all);samsho3;1995;SNK;Fighter / Versus;;;;;0;;;;;
samsho4;Samurai Shodown IV - Amakusa's Revenge / Samurai Spirits - Amakusa Kourin (NGM-222)(NGH-222);Arcade;;1996;SNK;Fighter / Versus;;;;;0;;;;;
samsho4;Samurai Shodown IV - Amakusa's Revenge / Samurai Spirits - Amakusa Kourin (NGM-222)(NGH-222);Final Burn Alpha;;1996;SNK;;;;;;0;;;;;
samsho4;Samurai Shodown IV - Amakusa's Revenge / Samurai Spirits - Amakusa Kourin (NGM-222)(NGH-222);MAME (Advance);;1996;SNK;Fighter / Versus;;;;;0;;;;;
samsho4;Samurai Shodown IV - Amakusa's Revenge / Samurai Spirits - Amakusa Kourin (NGM-222)(NGH-222);MAME (Libretro);;1996;SNK;Fighter / Versus;;;;;0;;;;;
samsho4;Samurai Shodown IV - Amakusa's Revenge / Samurai Spirits - Amakusa Kourin (NGM-222)(NGH-222);MAME (Mame4all);;1996;SNK;Fighter / Versus;;;;;0;;;;;
samsho4;Samurai Showdown 4 Amakusa's Revenge;SNK Neo Geo AES;;1996;SNK;Action/Fighting;;;;;0;;;;;
samsho4k;Pae Wang Jeon Seol / Legend of a Warrior (Korean censored Samurai Shodown IV);Arcade;samsho4;1996;SNK;Fighter / Versus;;;;;0;;;;;
samsho4k;Pae Wang Jeon Seol / Legend of a Warrior (Korean censored Samurai Shodown IV);Final Burn Alpha;samsho4;1996;SNK;;;;;;0;;;;;
samsho4k;Pae Wang Jeon Seol / Legend of a Warrior (Korean censored Samurai Shodown IV);MAME (Advance);samsho4;1996;SNK;Fighter / Versus;;;;;0;;;;;
samsho4k;Pae Wang Jeon Seol / Legend of a Warrior (Korean censored Samurai Shodown IV);MAME (Libretro);samsho4;1996;SNK;Fighter / Versus;;;;;0;;;;;
samsho4k;Pae Wang Jeon Seol / Legend of a Warrior (Korean censored Samurai Shodown IV);MAME (Mame4all);samsho4;1996;SNK;Fighter / Versus;;;;;0;;;;;
samsho5;Samurai Shodown V / Samurai Spirits Zero (NGM-2700);Arcade;;2003;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsho5;Samurai Shodown V / Samurai Spirits Zero (NGM-2700);Final Burn Alpha;;2003;Yuki Enterprise / SNK Playmore;;;;;;0;;;;;
