Battle Arena Toshinden 2 (USA);Battle Arena Toshinden 2 (USA);Sony PlayStation;;1996;Playmates;Fighter;;;;;0;;;;;
Battle Arena Toshinden 3 (USA);Battle Arena Toshinden 3 (USA);Sony PSP;;1997;Playmates;Fighter;;;;;0;;;;;
Battle Arena Toshinden 3 (USA);Battle Arena Toshinden 3 (USA);Sony PlayStation;;1997;Playmates;Fighter;;;;;0;;;;;
Battle Blaze (USA);Battle Blaze (USA);Super Nintendo Entertainment System;;1993;Sammy Studios;Fighter;;;;;0;;;;;
Battle Crusher (Japan);Battle Crusher (Japan);Nintendo Game Boy;;1995;Sun L;Fighter;;;;;0;;;;;
Battle Master - Kyuukyoku no Senshi-tachi (Japan);Battle Master - Kyuukyoku no Senshi-tachi (Japan);Nintendo Super Famicom;;1993;System Vision;Fighter;;;;;0;;;;;
Battle Spirit - Digimon Frontier (Japan);Battle Spirit - Digimon Frontier (Japan);Bandai WonderSwan Color;;2002;Bandai;Fighter;;;;;0;;;;;
Battle Tycoon - Flash Hiders SFX (Japan);Battle Tycoon - Flash Hiders SFX (Japan);Nintendo Super Famicom;;1995;Right Stuff;Fighter;;;;;0;;;;;
Battletoads in Battlemaniacs (USA);Battletoads in Battlemaniacs (USA);Super Nintendo Entertainment System;;1993;Tradewest;Fighter;;;;;0;;;;;
Beast Fighter (Asia) (Unl);Beast Fighter (Asia) (Unl);Nintendo Game Boy;;2000;Sachen;Beat-'Em-Up;;;;;0;;;;;
Bebe's Kids (USA);Bebe's Kids (USA);Super Nintendo Entertainment System;;1994;Motown Games;Fighter;;;;;0;;;;;
Beggar Prince (World) (Unl);Beggar Prince (World) (Unl);Sega Genesis;;2006;Super Fighter Team;Role-Playing;;;;;0;;;;;
Best of the Best - Championship Karate (USA);Best of the Best - Championship Karate (USA);Nintendo Entertainment System;;1992;Electro Brain;Fighter;;;;;0;;;;;
Best of the Best - Championship Karate (USA);Best of the Best - Championship Karate (USA);Nintendo Game Boy;;1992;Electro Brain;Fighter;;;;;0;;;;;
Best of the Best - Championship Karate (USA);Best of the Best - Championship Karate (USA);Sega Genesis;;1993;Electro Brain;Fighter;;;;;0;;;;;
Big Challenge! Gun Fighter (Japan);Big Challenge! Gun Fighter (Japan);Nintendo Famicom Disk System;;1989;Jaleco;Shooter;;;;;0;;;;;
Bio F.R.E.A.K.S. (USA);Bio F.R.E.A.K.S. (USA);Nintendo 64;;1998;Midway;Fighter;;;;;0;;;;;
Bio F.R.E.A.K.S. (USA);Bio F.R.E.A.K.S. (USA);Sony PSP;;1998;Midway;Fighter;;;;;0;;;;;
Bio F.R.E.A.K.S. (USA);Bio F.R.E.A.K.S. (USA);Sony PlayStation;;1998;Midway;Fighter;;;;;0;;;;;
Bishoujo Senshi Sailor Moon S (Japan);Bishoujo Senshi Sailor Moon S (Japan);Panasonic 3DO;;1995;Bandai;Fighter;;;;;0;;;;;
Bishoujo Senshi Sailor Moon S - Jougai Rantou! Shuyaku Soudatsusen (Japan);Bishoujo Senshi Sailor Moon S - Jougai Rantou! Shuyaku Soudatsusen (Japan);Nintendo Super Famicom;;1994;Angel (Bandai);Fighter;;;;;0;;;;;
Bishoujo Senshi Sailor Moon Super S - Zenin Sanka!! Shuyaku Soudatsusen (Japan);Bishoujo Senshi Sailor Moon Super S - Zenin Sanka!! Shuyaku Soudatsusen (Japan);Nintendo Super Famicom;;1996;Monolith (Japan);Fighter;;;;;0;;;;;
Black Belt (USA);Black Belt (USA);Commodore 64;;1984;Earthware Computer Services;Fighter;;;;;0;;;;;
Black Belt Challenge (Europe);Black Belt Challenge (Europe);Nintendo Game Boy Advance;;2002;THQ;Fighter;;;;;0;;;;;
Black Hole Assault (USA);Black Hole Assault (USA);Sega CD;;1992;Bignet;Fighter;;;;;0;;;;;
Black Panther (Europe);Black Panther (Europe);Commodore 64;;1992;CP Verlag/Game On;Fighter;;;;;0;;;;;
Bloody Roar (USA);Bloody Roar (USA);Sony PSP;;1998;SCEA;Fighter;;;;;0;;;;;
Bloody Roar (USA);Bloody Roar (USA);Sony PlayStation;;1998;SCEA;Fighter;;;;;0;;;;;
Bloody Roar II (USA);Bloody Roar II (USA);Sony PSP;;1999;SCEA;Fighter;;;;;0;;;;;
Bloody Roar II (USA);Bloody Roar II (USA);Sony PlayStation;;1999;SCEA;Fighter;;;;;0;;;;;
BoomBots (USA);BoomBots (USA);Sony PSP;;1999;South Peak Interactive;Fighter;;;;;0;;;;;
BoomBots (USA);BoomBots (USA);Sony PlayStation;;1999;South Peak Interactive;Fighter;;;;;0;;;;;
Bounces (Europe);Bounces (Europe);Sinclair ZX Spectrum;;1985;Beyond Software;Fighter;;;;;0;;;;;
Brawl Brothers (USA);Brawl Brothers (USA);Super Nintendo Entertainment System;;1993;Jaleco;Fighter;;;;;0;;;;;
Brian Jack's Uchi-Mata (Europe);Brian Jack's Uchi-Mata (Europe);Commodore 64;;1986;Martech;Fighter;;;;;0;;;;;
Bronx (Spain);Bronx (Spain);Sinclair ZX Spectrum;;1989;Animagic;Fighter;;;;;0;;;;;
Brutal - Paws of Fury (USA);Brutal - Paws of Fury (USA);Sega CD;;1993;GameTek;Fighter;;;;;0;;;;;
Brutal - Paws of Fury (USA);Brutal - Paws of Fury (USA);Sega Genesis;;1994;Imagitec Design;Fighter;;;;;0;;;;;
Brutal - Paws of Fury (USA);Brutal - Paws of Fury (USA);Super Nintendo Entertainment System;;1994;Cybersoft;Fighter;;;;;0;;;;;
Brutal Unleashed - Above the Claw (USA);Brutal Unleashed - Above the Claw (USA);Sega 32X;;1995;GameTek;Fighter;;;;;0;;;;;
Budokan (Europe);Budokan (Europe);Sinclair ZX Spectrum;;1991;Dro Soft;Fighter;;;;;0;;;;;
Budokan - The Martial Spirit (Europe) (Side A);Budokan - The Martial Spirit (Europe) (Side A);Amstrad CPC;;1991;Electronic Arts;Fighter;;;;;0;;;;;
Budokan - The Martial Spirit (Europe) (Side B);Budokan - The Martial Spirit (Europe) (Side B);Amstrad CPC;;1991;Electronic Arts;Fighter;;;;;0;;;;;
Budokan - The Martial Spirit (USA) (Side A);Budokan - The Martial Spirit (USA) (Side A);Commodore 64;;1991;Electronic Arts;Fighter;;;;;0;;;;;
Budokan - The Martial Spirit (USA) (Side B);Budokan - The Martial Spirit (USA) (Side B);Commodore 64;;1991;Electronic Arts;Fighter;;;;;0;;;;;
Burai Fighter (USA);Burai Fighter (USA);Nintendo Entertainment System;;1990;Taxan;Shoot-'Em-Up;;;;;0;;;;;
Burai Fighter Deluxe (USA, Europe);Burai Fighter Deluxe (USA, Europe);Nintendo Game Boy;;1991;Taxan;Shoot-'Em-Up;;;;;0;;;;;
Bushido Blade (USA);Bushido Blade (USA);Sony PSP;;1997;SCEA;Fighter;;;;;0;;;;;
Bushido Blade (USA);Bushido Blade (USA);Sony PlayStation;;1997;SCEA;Fighter;;;;;0;;;;;
Bushido Blade 2 (USA);Bushido Blade 2 (USA);Sony PSP;;1998;Squaresoft;Fighter;;;;;0;;;;;
Bushido Blade 2 (USA);Bushido Blade 2 (USA);Sony PlayStation;;1998;Squaresoft;Fighter;;;;;0;;;;;
Buster Fight (Japan);Buster Fight (Japan);Sega Game Gear;;1994;Sims;Fighter;;;;;0;;;;;
By Fair Means or Foul (Europe);By Fair Means or Foul (Europe);Sinclair ZX Spectrum;;1989;Superior Software;Fighter;;;;;0;;;;;
Cannon Fighter (Japan);Cannon Fighter (Japan);Microsoft MSX;;;;;;;;;0;;;;;
Capcom vs. SNK (USA);Capcom vs. SNK (USA);Sega Dreamcast;;2000;Capcom;Fighter;;;;;0;;;;;
Capcom vs. SNK - Millennium Fight 2000 Pro (Japan);Capcom vs. SNK - Millennium Fight 2000 Pro (Japan);Sega Dreamcast;;2001;Capcom;Fighter;;;;;0;;;;;
Capcom vs. SNK 2 - Millionaire Fighting 2001 (Japan);Capcom vs. SNK 2 - Millionaire Fighting 2001 (Japan);Sega Dreamcast;;2001;Capcom;Fighter;;;;;0;;;;;
Capcom vs. SNK Pro (USA);Capcom vs. SNK Pro (USA);Sony PSP;;2002;Capcom;Fighter;;;;;0;;;;;
Capcom vs. SNK Pro (USA);Capcom vs. SNK Pro (USA);Sony PlayStation;;2002;Capcom;Fighter;;;;;0;;;;;
Captain America and the Avengers (USA);Captain America and the Avengers (USA);Super Nintendo Entertainment System;;1993;Mindscape;Fighter;;;;;0;;;;;
Captain Commando (USA);Captain Commando (USA);Super Nintendo Entertainment System;;1995;Capcom;Fighter;;;;;0;;;;;
Car Fighter (Japan);Car Fighter (Japan);Microsoft MSX;;;;;;;;;0;;;;;
Cardinal Syn (USA);Cardinal Syn (USA);Sony PSP;;1998;989 Studios;Fighter;;;;;0;;;;;
Cardinal Syn (USA);Cardinal Syn (USA);Sony PlayStation;;1998;989 Studios;Fighter;;;;;0;;;;;
Cave Fighter (Europe);Cave Fighter (Europe);Commodore 64;;1984;Bubble Bus;Platform;;;;;0;;;;;
Cavern Fighter (Europe);Cavern Fighter (Europe);Sinclair ZX Spectrum;;1983;Bug-Byte Software;Shooter;;;;;0;;;;;
